strength,agility,expertise,resistance,life,height,characterType,performance
60.0,49.0,22.0,14.0,2.0,1.9,CharacterType.ARCHER,48.03712729081241
60.0,60.0,11.0,9.0,9.0,2.0,CharacterType.ARCHER,43.84247365163227
93.0,22.0,27.0,2.0,4.0,1.9,CharacterType.ARCHER,41.93803201588765
63.0,30.0,28.0,7.0,19.0,1.8,CharacterType.ARCHER,35.492304436620614
38.0,63.0,6.0,17.0,25.0,1.9,CharacterType.ARCHER,33.3625641464792
51.0,34.0,22.0,28.0,12.0,1.9,CharacterType.ARCHER,33.26992405653104
66.0,24.0,36.0,19.0,3.0,1.4,CharacterType.ARCHER,33.08277970965065
50.0,46.0,15.0,10.0,26.0,2.0,CharacterType.ARCHER,32.88475923555561
66.0,35.0,20.0,5.0,21.0,1.7,CharacterType.ARCHER,32.5910637231871
54.0,47.0,11.0,1.0,35.0,1.4,CharacterType.ARCHER,32.25483111245494
43.0,40.0,45.0,15.0,4.0,1.6,CharacterType.ARCHER,31.0962131643845
53.0,32.0,26.0,10.0,27.0,2.0,CharacterType.ARCHER,30.94371991518584
35.0,41.0,48.0,12.0,11.0,2.0,CharacterType.ARCHER,30.22353749771977
82.0,16.0,31.0,18.0,3.0,1.5,CharacterType.ARCHER,29.713692828970093
54.0,47.0,2.0,46.0,1.0,1.4,CharacterType.ARCHER,28.619216122294336
39.0,60.0,7.0,32.0,10.0,1.5,CharacterType.ARCHER,28.189154021129827
58.0,42.0,8.0,36.0,3.0,1.6,CharacterType.ARCHER,28.142533433179842
30.0,69.0,2.0,23.0,24.0,1.9,CharacterType.ARCHER,27.634223672909833
44.0,30.0,36.0,4.0,33.0,1.5,CharacterType.ARCHER,27.510476765400885
40.0,53.0,3.0,23.0,28.0,1.7,CharacterType.ARCHER,24.16739508066604
30.0,58.0,9.0,25.0,26.0,1.8,CharacterType.ARCHER,23.92651978667546
70.0,10.0,34.0,4.0,30.0,1.7,CharacterType.ARCHER,22.69166042313226
29.0,35.0,40.0,39.0,4.0,1.8,CharacterType.ARCHER,22.21919306560979
45.0,70.0,7.0,25.0,3.0,1.3,CharacterType.ARCHER,22.123899131522574
97.0,23.0,2.0,1.0,27.0,1.7,CharacterType.ARCHER,21.877619158054543
39.0,42.0,57.0,1.0,8.0,1.3,CharacterType.ARCHER,21.553003968875235
66.0,16.0,53.0,2.0,10.0,1.3,CharacterType.ARCHER,21.47716068707667
29.0,25.0,38.0,24.0,31.0,1.5,CharacterType.ARCHER,18.329800881542383
54.0,45.0,2.0,32.0,13.0,1.3,CharacterType.ARCHER,17.914163998443744
39.0,16.0,27.0,45.0,20.0,1.8,CharacterType.ARCHER,17.353306796239373
82.0,15.0,28.0,20.0,2.0,1.3,CharacterType.ARCHER,17.13267246302185
15.0,41.0,63.0,16.0,14.0,1.9,CharacterType.ARCHER,17.02465267399853
21.0,30.0,50.0,31.0,17.0,1.4,CharacterType.ARCHER,16.189798449843998
16.0,33.0,55.0,26.0,17.0,1.9,CharacterType.ARCHER,15.767361064050307
26.0,23.0,38.0,39.0,21.0,1.7,CharacterType.ARCHER,15.1978051607305
30.0,2.0,49.0,10.0,57.0,1.9,CharacterType.ARCHER,14.572129523113421
31.0,24.0,47.0,29.0,16.0,1.3,CharacterType.ARCHER,13.46098249079586
32.0,26.0,9.0,25.0,55.0,1.7,CharacterType.ARCHER,13.377924597294609
17.0,50.0,5.0,44.0,31.0,1.8,CharacterType.ARCHER,12.729445171621183
26.0,4.0,52.0,7.0,59.0,1.4,CharacterType.ARCHER,12.712448953398054
12.0,83.0,16.0,34.0,3.0,1.4,CharacterType.ARCHER,12.06111967368176
22.0,32.0,6.0,75.0,11.0,1.9,CharacterType.ARCHER,12.031872692552462
38.0,0.0,45.0,56.0,8.0,1.7,CharacterType.ARCHER,11.930119474257873
20.0,8.0,62.0,40.0,17.0,1.4,CharacterType.ARCHER,11.710528422567885
24.0,19.0,19.0,34.0,52.0,1.4,CharacterType.ARCHER,11.355787109513331
15.0,81.0,24.0,16.0,11.0,1.3,CharacterType.ARCHER,10.261636780616728
15.0,5.0,87.0,22.0,20.0,1.6,CharacterType.ARCHER,9.904307417723746
110.0,5.0,8.0,11.0,12.0,1.7,CharacterType.ARCHER,9.801745816949206
24.0,17.0,12.0,48.0,47.0,1.4,CharacterType.ARCHER,9.704548825882991
13.0,20.0,49.0,38.0,28.0,1.4,CharacterType.ARCHER,9.674431748632902
16.0,22.0,61.0,14.0,34.0,1.3,CharacterType.ARCHER,9.391639221151248
