strength,agility,expertise,resistance,life,height,characterType,performance
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
61,22,52,7,8,1.3,CharacterType.ARCHER,818.352616720939
82,8,34,12,14,1.3,CharacterType.ARCHER,674.972447125664
59,8,38,12,33,1.6,CharacterType.ARCHER,636.6680875008686
59,8,38,12,33,1.6,CharacterType.ARCHER,636.6680875008686
68,6,27,9,40,1.8,CharacterType.ARCHER,533.524160222734
