strength,agility,expertise,resistance,life,height,characterType,performance,generation
49,3,71,6,21,1.9,CharacterType.ARCHER,942.4193074407048,0
49.0,3.0,71.0,6.0,21.0,1.9,CharacterType.ARCHER,942.4193074407048,1
49.0,3.0,71.0,6.0,21.0,1.9,CharacterType.ARCHER,942.4193074407048,2
65.0,7.0,55.0,17.0,6.0,1.5,CharacterType.ARCHER,940.780498981529,3
65.0,7.0,55.0,17.0,6.0,1.5,CharacterType.ARCHER,940.780498981529,4
49.0,3.0,71.0,6.0,21.0,1.9,CharacterType.ARCHER,942.4193074407048,5
46.0,9.0,77.0,2.0,16.0,1.8,CharacterType.ARCHER,933.5893147550565,6
49.0,3.0,71.0,6.0,21.0,1.9,CharacterType.ARCHER,942.4193074407048,7
65.0,7.0,55.0,17.0,6.0,1.5,CharacterType.ARCHER,940.780498981529,8
65.0,7.0,55.0,17.0,6.0,1.5,CharacterType.ARCHER,940.780498981529,9
49.0,3.0,71.0,6.0,21.0,1.9,CharacterType.ARCHER,942.4193074407048,10
49.0,3.0,71.0,6.0,21.0,1.9,CharacterType.ARCHER,942.4193074407048,11
49.0,3.0,71.0,6.0,21.0,1.9,CharacterType.ARCHER,942.4193074407048,12
49.0,3.0,71.0,6.0,21.0,1.9,CharacterType.ARCHER,942.4193074407048,13
49.0,3.0,71.0,6.0,21.0,1.9,CharacterType.ARCHER,942.4193074407048,14
49.0,3.0,71.0,6.0,21.0,1.9,CharacterType.ARCHER,942.4193074407048,15
49.0,3.0,71.0,6.0,21.0,1.9,CharacterType.ARCHER,942.4193074407048,16
49.0,3.0,71.0,6.0,21.0,1.9,CharacterType.ARCHER,942.4193074407048,17
49.0,3.0,71.0,6.0,21.0,1.9,CharacterType.ARCHER,942.4193074407048,18
46.0,9.0,77.0,2.0,16.0,1.8,CharacterType.ARCHER,933.5893147550565,19
49.0,3.0,71.0,6.0,21.0,1.9,CharacterType.ARCHER,942.4193074407048,20
49.0,3.0,71.0,6.0,21.0,1.9,CharacterType.ARCHER,942.4193074407048,21
49.0,3.0,71.0,6.0,21.0,1.9,CharacterType.ARCHER,942.4193074407048,22
49.0,3.0,71.0,6.0,21.0,1.9,CharacterType.ARCHER,942.4193074407048,23
49.0,3.0,71.0,6.0,21.0,1.9,CharacterType.ARCHER,942.4193074407048,24
49.0,3.0,71.0,6.0,21.0,1.9,CharacterType.ARCHER,942.4193074407048,25
49.0,3.0,71.0,6.0,21.0,1.9,CharacterType.ARCHER,942.4193074407048,26
49.0,3.0,71.0,6.0,21.0,1.9,CharacterType.ARCHER,942.4193074407048,27
49.0,3.0,71.0,6.0,21.0,1.9,CharacterType.ARCHER,942.4193074407048,28
