strength,agility,expertise,resistance,life,height,characterType,performance,generation
74,42,1,23,10,1.9,CharacterType.ARCHER,38.9684935527522,1
55.0,71.0,10.0,4.0,8.0,1.5,CharacterType.ARCHER,43.50127845009951,2
80.0,45.0,10.0,5.0,10.0,1.9,CharacterType.ARCHER,49.02420421298166,3
74.0,46.0,25.0,3.0,0.0,1.9,CharacterType.ARCHER,55.54170507083295,4
74.0,46.0,25.0,3.0,0.0,1.9,CharacterType.ARCHER,55.54170507083295,5
74.0,46.0,25.0,3.0,0.0,1.9,CharacterType.ARCHER,55.54170507083295,6
74.0,46.0,25.0,3.0,0.0,1.9,CharacterType.ARCHER,55.54170507083295,7
65.0,79.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,59.158505528005804,8
65.0,79.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,59.158505528005804,9
62.0,76.0,10.0,0.0,0.0,1.9,CharacterType.ARCHER,59.09635021921595,10
61.0,80.0,8.0,0.0,0.0,1.9,CharacterType.ARCHER,59.26610119174936,11
75.0,59.0,13.0,1.0,0.0,1.9,CharacterType.ARCHER,59.02806584328924,12
67.0,72.0,8.0,1.0,0.0,1.9,CharacterType.ARCHER,59.4980189324649,13
75.0,57.0,17.0,0.0,0.0,1.9,CharacterType.ARCHER,59.895690783418765,14
67.0,72.0,8.0,1.0,0.0,1.9,CharacterType.ARCHER,59.4980189324649,15
77.0,62.0,9.0,0.0,0.0,1.9,CharacterType.ARCHER,59.877789731722594,16
77.0,68.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,60.32627215684362,17
77.0,68.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,60.32627215684362,18
77.0,68.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,60.32627215684362,19
70.0,61.0,18.0,0.0,0.0,1.9,CharacterType.ARCHER,60.19104844406203,20
75.0,68.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,60.973168939452606,21
67.0,77.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,60.58068783533231,22
73.0,64.0,12.0,0.0,0.0,1.9,CharacterType.ARCHER,60.67866993031485,23
70.0,77.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,60.37168667089508,24
70.0,77.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,60.37168667089508,25
67.0,69.0,13.0,0.0,0.0,1.9,CharacterType.ARCHER,60.4590686123863,26
70.0,77.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,60.37168667089508,27
72.0,67.0,10.0,0.0,0.0,1.9,CharacterType.ARCHER,60.85541359723857,28
75.0,69.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.01988615547537,29
75.0,74.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,30
75.0,74.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,31
77.0,69.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,61.559019018319994,32
73.0,72.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,61.09242864828613,33
73.0,72.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,61.09242864828613,34
73.0,72.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,61.09242864828613,35
73.0,72.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,61.09242864828613,36
73.0,72.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,61.09242864828613,37
73.0,72.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,61.09242864828613,38
72.0,66.0,11.0,0.0,0.0,1.9,CharacterType.ARCHER,60.79102795395799,39
79.0,66.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,60.6751737124517,40
74.0,72.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,61.111753090655434,41
72.0,76.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.07212138026475,42
72.0,76.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.07212138026475,43
76.0,72.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.09430524608095,44
76.0,72.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.09430524608095,45
76.0,72.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.09430524608095,46
76.0,72.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.09430524608095,47
75.0,74.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,48
73.0,75.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.1164731473312,49
73.0,75.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.1164731473312,50
73.0,75.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.1164731473312,51
74.0,72.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,61.111753090655434,52
70.0,70.0,10.0,0.0,0.0,1.9,CharacterType.ARCHER,61.410906330281215,53
71.0,77.0,2.0,0.0,0.0,1.9,CharacterType.ARCHER,61.562350328834995,54
71.0,77.0,2.0,0.0,0.0,1.9,CharacterType.ARCHER,61.562350328834995,55
71.0,77.0,2.0,0.0,0.0,1.9,CharacterType.ARCHER,61.562350328834995,56
71.0,77.0,2.0,0.0,0.0,1.9,CharacterType.ARCHER,61.562350328834995,57
74.0,72.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,61.111753090655434,58
74.0,72.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,61.111753090655434,59
75.0,72.0,2.0,0.0,0.0,1.9,CharacterType.ARCHER,61.11226547474582,60
75.0,71.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,61.671620760669335,61
75.0,71.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,61.671620760669335,62
74.0,71.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,61.08866534739653,63
74.0,71.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,61.08866534739653,64
74.0,71.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,61.08866534739653,65
74.0,71.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.665013954365165,66
74.0,71.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.665013954365165,67
74.0,71.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.665013954365165,68
74.0,71.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.665013954365165,69
74.0,71.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.665013954365165,70
75.0,73.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.12756487247904,71
74.0,73.0,2.0,0.0,0.0,1.9,CharacterType.ARCHER,61.127138739704385,72
74.0,71.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,61.08866534739653,73
78.0,72.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.60348441305347,74
78.0,72.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.60348441305347,75
71.0,77.0,2.0,0.0,0.0,1.9,CharacterType.ARCHER,61.562350328834995,76
71.0,77.0,2.0,0.0,0.0,1.9,CharacterType.ARCHER,61.562350328834995,77
68.0,76.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.26962728284775,78
68.0,76.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.26962728284775,79
68.0,76.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.26962728284775,80
69.0,77.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,61.37939034652009,81
68.0,76.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.26962728284775,82
68.0,76.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.26962728284775,83
74.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,84
74.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,85
74.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,86
70.0,74.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.49721572615091,87
70.0,74.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.49721572615091,88
70.0,74.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.49721572615091,89
70.0,74.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.49721572615091,90
70.0,74.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.49721572615091,91
70.0,74.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.49721572615091,92
70.0,74.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.49721572615091,93
70.0,74.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.49721572615091,94
70.0,74.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.49721572615091,95
70.0,74.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.49721572615091,96
75.0,68.0,7.0,0.0,0.0,1.9,CharacterType.ARCHER,61.55374021245875,97
75.0,68.0,7.0,0.0,0.0,1.9,CharacterType.ARCHER,61.55374021245875,98
75.0,68.0,7.0,0.0,0.0,1.9,CharacterType.ARCHER,61.55374021245875,99
75.0,68.0,7.0,0.0,0.0,1.9,CharacterType.ARCHER,61.55374021245875,100
75.0,68.0,7.0,0.0,0.0,1.9,CharacterType.ARCHER,61.55374021245875,101
75.0,68.0,7.0,0.0,0.0,1.9,CharacterType.ARCHER,61.55374021245875,102
75.0,68.0,7.0,0.0,0.0,1.9,CharacterType.ARCHER,61.55374021245875,103
70.0,74.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.49721572615091,104
70.0,74.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.49721572615091,105
70.0,74.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.49721572615091,106
70.0,74.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.49721572615091,107
70.0,74.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.49721572615091,108
70.0,74.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.49721572615091,109
70.0,74.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.49721572615091,110
75.0,68.0,7.0,0.0,0.0,1.9,CharacterType.ARCHER,61.55374021245875,111
70.0,74.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.49721572615091,112
70.0,74.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.49721572615091,113
75.0,74.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,114
70.0,71.0,9.0,0.0,0.0,1.9,CharacterType.ARCHER,61.44446384439808,115
70.0,71.0,9.0,0.0,0.0,1.9,CharacterType.ARCHER,61.44446384439808,116
71.0,74.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.5803198791885,117
71.0,74.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.5803198791885,118
71.0,74.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.5803198791885,119
71.0,74.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.5803198791885,120
73.0,75.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.1164731473312,121
73.0,75.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.1164731473312,122
68.0,77.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.25792166857418,123
68.0,77.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.25792166857418,124
68.0,77.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.25792166857418,125
74.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,126
75.0,74.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,127
74.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,128
74.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,129
75.0,74.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,130
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,131
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,132
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,133
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,134
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,135
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,136
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,137
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,138
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,139
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,140
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,141
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,142
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,143
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,144
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,145
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,146
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,147
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,148
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,149
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,150
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,151
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,152
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,153
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,154
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,155
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,156
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,157
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,158
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,159
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,160
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,161
79.0,70.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.48272694534582,162
79.0,70.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.48272694534582,163
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,164
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,165
79.0,70.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.48272694534582,166
79.0,70.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.48272694534582,167
79.0,70.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.48272694534582,168
79.0,70.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.48272694534582,169
79.0,70.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.48272694534582,170
79.0,70.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.48272694534582,171
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,172
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,173
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,174
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,175
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,176
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,177
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,178
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,179
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,180
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,181
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,182
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,183
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,184
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,185
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,186
