generation,strength,agility,expertise,resistance,life,height,characterType,performance,performance_relative,performance_accumulated
1,68,10,55,2,15,1.7,CharacterType.ARCHER,973.0839178734942,0.01795860615574391,0.01795860615574391
1,73,12,50,12,3,1.7,CharacterType.ARCHER,951.3401711735321,0.01755731765825418,0.03551592381399809
1,62,15,54,15,4,2.0,CharacterType.ARCHER,925.8579440832908,0.017087034189501624,0.05260295800349971
1,51,27,64,4,4,1.6,CharacterType.ARCHER,903.6535170494875,0.01667724367432648,0.0692802016778262
1,67,8,55,4,16,1.3,CharacterType.ARCHER,883.5625152063119,0.016306457164808993,0.0855866588426352
1,48,14,63,22,3,1.9,CharacterType.ARCHER,869.2191546011202,0.016041745397070234,0.10162840423970543
1,58,30,47,8,7,1.8,CharacterType.ARCHER,830.836353919454,0.015333377302669074,0.11696178154237451
1,66,29,43,2,10,1.6,CharacterType.ARCHER,827.6546267648412,0.015274657408305187,0.13223643895067969
1,58,20,47,2,23,2.0,CharacterType.ARCHER,803.7574978169537,0.014833627483603532,0.14707006643428322
1,49,21,57,21,2,1.4,CharacterType.ARCHER,800.5173241204935,0.014773828937741125,0.16184389537202434
1,67,17,39,17,10,1.9,CharacterType.ARCHER,784.1749279919618,0.014472224265910952,0.1763161196379353
1,49,10,52,11,28,1.7,CharacterType.ARCHER,719.7314310237008,0.013282896850161457,0.18959901648809677
1,81,20,31,13,5,1.4,CharacterType.ARCHER,715.8004216341056,0.013210348688460723,0.20280936517655748
1,48,2,56,27,17,1.3,CharacterType.ARCHER,673.7798670288641,0.012434844565187802,0.2152442097417453
1,28,10,87,13,12,1.5,CharacterType.ARCHER,633.7425961330136,0.011695942640736428,0.22694015238248172
1,61,4,37,8,40,1.7,CharacterType.ARCHER,630.5241207642703,0.011636544545148193,0.23857669692762992
1,60,27,37,5,21,1.3,CharacterType.ARCHER,629.9157614421471,0.011625317059762285,0.2502020139873922
1,38,40,50,16,6,1.4,CharacterType.ARCHER,612.200956099347,0.011298384092899325,0.2615003980802916
1,34,15,70,25,6,1.3,CharacterType.ARCHER,604.0861560649253,0.01114862260247282,0.2726490206827644
1,53,10,36,8,43,1.5,CharacterType.ARCHER,572.3557122762656,0.010563026095654803,0.2832120467784192
1,33,30,54,13,20,2.0,CharacterType.ARCHER,564.9666851318628,0.01042665899933035,0.2936387057777496
1,46,47,39,8,10,1.3,CharacterType.ARCHER,560.5919834111845,0.010345922339513584,0.3039846281172632
1,45,18,39,4,44,1.4,CharacterType.ARCHER,551.8791181575735,0.010185123344993559,0.31416975146225673
1,45,50,33,1,21,1.6,CharacterType.ARCHER,530.741087610665,0.00979501355227436,0.3239647650145311
1,61,2,29,52,6,1.8,CharacterType.ARCHER,507.4129303691508,0.00936448420064851,0.3333292492151796
1,24,5,76,30,15,1.8,CharacterType.ARCHER,504.2882706892271,0.009306817506613413,0.34263606672179303
1,47,59,26,7,11,1.9,CharacterType.ARCHER,504.0329163382666,0.009302104852201164,0.3519381715739942
1,28,3,61,6,52,1.5,CharacterType.ARCHER,497.3606266545288,0.009178965397950253,0.3611171369719445
1,30,7,53,11,49,2.0,CharacterType.ARCHER,482.8477155810205,0.008911124516649866,0.37002826148859436
1,57,56,21,14,2,1.4,CharacterType.ARCHER,481.59901411904633,0.008888079291721371,0.3789163407803157
1,54,2,30,37,27,1.8,CharacterType.ARCHER,478.6803854075894,0.008834214971716532,0.38775055575203227
1,34,63,36,2,15,2.0,CharacterType.ARCHER,468.0796553722929,0.008638574768265954,0.3963891305202982
1,37,45,36,24,8,1.3,CharacterType.ARCHER,431.555448898834,0.007964507684060793,0.40435363820435904
1,56,5,28,15,46,1.3,CharacterType.ARCHER,428.5850199836629,0.007909687373066684,0.41226332557742573
1,70,13,20,25,22,1.4,CharacterType.ARCHER,427.01711337461916,0.007880751104813132,0.42014407668223885
1,26,17,54,30,23,1.6,CharacterType.ARCHER,426.27189682243585,0.007866997871083149,0.428011074553322
1,49,29,25,42,5,1.4,CharacterType.ARCHER,425.65198409993906,0.007855557163627432,0.43586663171694945
1,24,49,52,12,13,1.6,CharacterType.ARCHER,415.36046130954674,0.007665623488698949,0.4435322552056484
1,111,9,14,11,5,1.9,CharacterType.ARCHER,415.07902152938016,0.007660429418510618,0.451192684624159
1,56,27,24,39,4,1.3,CharacterType.ARCHER,414.74389013540394,0.007654244450694074,0.4588469290748531
1,25,24,57,29,15,1.3,CharacterType.ARCHER,403.84987480268535,0.0074531915638654965,0.46630012063871856
1,43,1,31,14,61,1.5,CharacterType.ARCHER,403.82806696421596,0.007452789092531846,0.4737529097312504
1,48,8,27,20,47,1.7,CharacterType.ARCHER,399.9323779550472,0.007380892780881962,0.48113380251213234
1,63,4,22,43,18,1.7,CharacterType.ARCHER,397.5695109015535,0.007337285237860588,0.4884710877499929
1,51,16,24,27,32,1.6,CharacterType.ARCHER,394.1173143583951,0.0072735737357464796,0.4957446614857394
1,50,17,24,21,38,1.6,CharacterType.ARCHER,390.81343563562154,0.007212599491204144,0.5029572609769436
1,28,7,43,14,58,2.0,CharacterType.ARCHER,382.12698200498255,0.007052287932480945,0.5100095489094245
1,27,15,50,44,14,1.3,CharacterType.ARCHER,381.14384663571474,0.007034143823252374,0.5170436927326769
1,39,7,33,27,44,1.3,CharacterType.ARCHER,371.69349502763555,0.006859734258521638,0.5239034269911985
1,18,19,71,24,18,1.7,CharacterType.ARCHER,369.6722506919488,0.006822431482982555,0.5307258584741811
1,97,1,15,20,17,1.5,CharacterType.ARCHER,363.3554988947707,0.006705853605550346,0.5374317120797314
1,42,9,26,43,30,1.9,CharacterType.ARCHER,362.3146115367253,0.006686643663044586,0.544118355742776
1,41,14,26,65,4,1.9,CharacterType.ARCHER,361.5542760177868,0.006672611403462412,0.5507909671462384
1,57,62,13,16,2,1.7,CharacterType.ARCHER,360.82182182136796,0.00665909370349944,0.5574500608497379
1,22,28,48,2,50,1.6,CharacterType.ARCHER,350.14516517216066,0.006462052247668756,0.5639121130974066
1,74,6,16,32,22,1.5,CharacterType.ARCHER,343.0748818853364,0.006331567681409464,0.570243680778816
1,16,12,72,20,30,2.0,CharacterType.ARCHER,338.69357820672235,0.006250709180135609,0.5764943899589516
1,30,33,34,20,33,1.3,CharacterType.ARCHER,334.07922022048473,0.006165549579597204,0.5826599395385489
1,42,13,24,41,30,1.5,CharacterType.ARCHER,332.70139804122357,0.006140121386390525,0.5888000609249394
1,22,59,41,6,22,1.6,CharacterType.ARCHER,331.4804366558994,0.006117588114338998,0.5949176490392785
1,105,14,12,17,2,1.3,CharacterType.ARCHER,325.15036383637306,0.006000764392751368,0.6009184134320298
1,24,8,43,61,14,1.4,CharacterType.ARCHER,320.13681857819466,0.005908237650625796,0.6068266510826555
1,15,32,72,19,12,1.6,CharacterType.ARCHER,319.1831432900224,0.005890637237561546,0.6127172883202171
1,52,55,12,27,4,1.8,CharacterType.ARCHER,316.1349669867041,0.005834382071158025,0.6185516703913752
1,36,53,20,17,24,1.8,CharacterType.ARCHER,316.105894109688,0.0058338455209812545,0.6243855159123564
1,30,9,32,14,65,1.4,CharacterType.ARCHER,314.90172454097734,0.0058116221478147715,0.6301971380601711
1,19,54,47,14,16,1.6,CharacterType.ARCHER,313.1124087173395,0.005778599694586714,0.6359757377547578
1,16,25,64,40,5,1.5,CharacterType.ARCHER,310.1100913551956,0.0057231908710814175,0.6416989286258392
1,34,24,26,64,2,1.5,CharacterType.ARCHER,308.6587585625833,0.005696406013635208,0.6473953346394744
1,18,7,53,3,69,1.6,CharacterType.ARCHER,299.4903187175277,0.005527199229702531,0.652922533869177
1,53,25,16,14,42,1.3,CharacterType.ARCHER,289.05378491250286,0.005334589325466179,0.6582571231946431
1,24,28,33,24,41,1.8,CharacterType.ARCHER,287.38258529180655,0.00530374674833131,0.6635608699429745
1,37,35,19,6,53,1.4,CharacterType.ARCHER,282.5480397953615,0.005214523509802802,0.6687753934527773
1,16,9,56,7,62,1.6,CharacterType.ARCHER,281.5205504661929,0.005195560832635048,0.6739709542854123
1,65,41,9,17,18,1.6,CharacterType.ARCHER,279.9272984402855,0.005166156805793622,0.6791371110912059
1,30,51,22,45,2,1.5,CharacterType.ARCHER,275.7545478422961,0.005089147225017488,0.6842262583162234
1,25,9,32,12,72,2.0,CharacterType.ARCHER,269.66906112821965,0.004976837426081606,0.689203095742305
1,44,43,13,15,35,1.8,CharacterType.ARCHER,268.3032254348831,0.004951630447690995,0.694154726189996
1,60,72,5,10,3,2.0,CharacterType.ARCHER,265.9572620822254,0.004908334868417363,0.6990630610584133
1,34,88,14,11,3,1.6,CharacterType.ARCHER,265.49194964826626,0.004899747363694128,0.7039628084221075
1,64,32,9,41,4,1.8,CharacterType.ARCHER,260.53620948006426,0.004808287434847056,0.7087710958569545
1,11,35,83,10,11,1.6,CharacterType.ARCHER,259.7298214918815,0.004793405260738019,0.7135645011176925
1,13,49,55,9,24,1.9,CharacterType.ARCHER,255.21553395852698,0.004710092495624746,0.7182745936133172
1,10,28,93,2,17,1.7,CharacterType.ARCHER,253.21619327227089,0.004673193959644321,0.7229477875729615
1,21,66,28,24,11,1.5,CharacterType.ARCHER,247.24195639287248,0.004562937315558888,0.7275107248885204
1,40,5,19,60,26,2.0,CharacterType.ARCHER,245.6024385334223,0.0045326794364773815,0.7320434043249978
1,12,52,58,21,7,1.9,CharacterType.ARCHER,242.68339227088202,0.004478807410420353,0.7365222117354182
1,15,59,42,9,25,1.4,CharacterType.ARCHER,237.83554213545872,0.004389338630097282,0.7409115503655155
1,22,22,31,58,17,1.5,CharacterType.ARCHER,237.77833926934576,0.004388282931072117,0.7452998332965876
1,37,52,13,25,23,1.6,CharacterType.ARCHER,235.8087769662107,0.004351933965631913,0.7496517672622195
1,22,81,21,3,23,1.9,CharacterType.ARCHER,233.2247132660817,0.0043042441606525195,0.753956011422872
1,34,45,14,39,18,1.9,CharacterType.ARCHER,231.30929612231537,0.004268894463183435,0.7582249058860555
1,13,15,53,20,49,1.8,CharacterType.ARCHER,228.55567711442654,0.004218075455328786,0.7624429813413843
1,9,5,102,25,9,1.7,CharacterType.ARCHER,226.00359443637637,0.00417097587136674,0.766613957212751
1,9,8,93,17,23,1.7,CharacterType.ARCHER,223.01577003259592,0.004115834520508459,0.7707297917332595
1,23,60,22,31,14,1.6,CharacterType.ARCHER,220.66110325459758,0.004072378316457222,0.7748021700497167
1,16,18,42,55,19,1.7,CharacterType.ARCHER,220.33563788367653,0.004066371738497865,0.7788685417882146
1,42,20,14,49,25,1.6,CharacterType.ARCHER,218.895623898343,0.004039795773623343,0.782908337561838
1,24,19,28,50,29,1.3,CharacterType.ARCHER,218.2365474827259,0.0040276322864284545,0.7869359698482664
1,17,26,34,21,52,1.9,CharacterType.ARCHER,216.80231512461498,0.004001163023519018,0.7909371328717855
1,22,46,24,47,11,1.4,CharacterType.ARCHER,215.1595604155062,0.0039708454072379384,0.7949079782790234
1,20,13,31,80,6,1.9,CharacterType.ARCHER,213.94939612010143,0.003948511399280628,0.798856489678304
1,19,96,22,7,6,2.0,CharacterType.ARCHER,207.984837930036,0.0038384333788129958,0.802694923057117
1,84,28,5,32,1,1.7,CharacterType.ARCHER,207.19289472783865,0.0038238177883127837,0.8065187408454297
1,15,24,40,66,5,2.0,CharacterType.ARCHER,203.6438403498667,0.0037583187407706138,0.8102770595862003
1,15,15,43,37,40,1.3,CharacterType.ARCHER,203.58051341881074,0.003757150019971722,0.814034209606172
1,57,13,11,41,28,1.3,CharacterType.ARCHER,201.45000394357984,0.0037178307178293486,0.8177520403240014
