strength,agility,expertise,resistance,life,height,characterType,performance
41,39,15,47,8,1.6,CharacterType.ARCHER,259.3859439096838
3,41,84,10,12,1.8,CharacterType.ARCHER,78.21030858302603
5,83,20,31,11,1.5,CharacterType.ARCHER,51.509986693593106
66,2,45,33,4,1.6,CharacterType.ARCHER,776.7028610258244
5,83,20,31,11,1.5,CharacterType.ARCHER,51.509986693593106
23,28,50,38,11,1.5,CharacterType.ARCHER,371.51021921726755
13,30,14,48,45,2.0,CharacterType.ARCHER,83.99731357814287
14,27,31,64,14,1.9,CharacterType.ARCHER,163.00104983269338
11,9,97,13,20,1.5,CharacterType.ARCHER,277.94543659411374
54,10,13,65,8,1.4,CharacterType.ARCHER,231.4650139744544
14,21,26,60,29,1.5,CharacterType.ARCHER,134.9739436730249
13,30,14,48,45,2.0,CharacterType.ARCHER,83.99731357814287
14,21,26,60,29,1.5,CharacterType.ARCHER,134.9739436730249
28,9,51,31,31,1.8,CharacterType.ARCHER,440.2686089625767
20,9,10,36,75,1.3,CharacterType.ARCHER,75.53337602073248
21,30,4,8,87,1.8,CharacterType.ARCHER,61.87175297660428
46,2,12,29,61,1.9,CharacterType.ARCHER,181.11013146472612
72,8,8,59,3,2.0,CharacterType.ARCHER,186.45898035893364
63,29,10,22,26,1.4,CharacterType.ARCHER,264.3682439725375
68,18,4,11,49,2.0,CharacterType.ARCHER,135.08990018694482
40,18,28,38,26,2.0,CharacterType.ARCHER,377.57915459595677
8,37,62,6,37,1.9,CharacterType.ARCHER,172.60141217001188
63,56,13,4,14,1.8,CharacterType.ARCHER,390.12761122354704
56,38,28,7,21,1.9,CharacterType.ARCHER,569.7599849901183
14,27,31,64,14,1.9,CharacterType.ARCHER,163.00104983269338
10,3,74,55,8,1.5,CharacterType.ARCHER,206.27362019976718
25,32,15,7,71,1.9,CharacterType.ARCHER,169.08608654667626
9,3,11,43,84,1.8,CharacterType.ARCHER,40.54311438580949
68,18,4,11,49,2.0,CharacterType.ARCHER,135.08990018694482
20,2,76,38,14,1.5,CharacterType.ARCHER,414.0254142511802
14,27,31,64,14,1.9,CharacterType.ARCHER,163.00104983269338
9,45,21,27,48,1.4,CharacterType.ARCHER,86.88813593445425
64,43,29,4,10,1.7,CharacterType.ARCHER,627.0501054455063
2,85,23,23,17,1.6,CharacterType.ARCHER,24.606462778243532
41,39,15,47,8,1.6,CharacterType.ARCHER,259.3859439096838
40,18,28,38,26,2.0,CharacterType.ARCHER,377.57915459595677
43,10,61,13,23,1.3,CharacterType.ARCHER,674.5488763932358
56,38,28,7,21,1.9,CharacterType.ARCHER,569.7599849901183
14,21,26,60,29,1.5,CharacterType.ARCHER,134.9739436730249
69,43,11,7,20,2.0,CharacterType.ARCHER,344.5831411133929
11,68,40,29,2,1.4,CharacterType.ARCHER,168.44300375084234
8,11,26,27,78,1.6,CharacterType.ARCHER,82.16423987741851
2,85,23,23,17,1.6,CharacterType.ARCHER,24.606462778243532
93,30,6,9,12,1.6,CharacterType.ARCHER,250.4933521289456
8,11,26,27,78,1.6,CharacterType.ARCHER,82.16423987741851
4,37,34,72,3,1.4,CharacterType.ARCHER,50.308083408862835
83,9,1,40,17,1.3,CharacterType.ARCHER,50.676629995480006
43,10,61,13,23,1.3,CharacterType.ARCHER,674.5488763932358
54,10,13,65,8,1.4,CharacterType.ARCHER,231.4650139744544
27,17,29,37,40,1.5,CharacterType.ARCHER,270.4570870289155
64,43,29,4,10,1.7,CharacterType.ARCHER,627.0501054455063
21,30,4,8,87,1.8,CharacterType.ARCHER,61.87175297660428
43,10,61,13,23,1.3,CharacterType.ARCHER,674.5488763932358
63,29,10,22,26,1.4,CharacterType.ARCHER,264.3682439725375
11,68,40,29,2,1.4,CharacterType.ARCHER,168.44300375084234
10,3,74,55,8,1.5,CharacterType.ARCHER,206.27362019976718
10,3,74,55,8,1.5,CharacterType.ARCHER,206.27362019976718
2,5,10,84,49,1.8,CharacterType.ARCHER,12.667931229597961
10,3,74,55,8,1.5,CharacterType.ARCHER,206.27362019976718
28,27,10,7,78,1.8,CharacterType.ARCHER,131.91517435563787
