strength,agility,expertise,resistance,life,height,characterType,performance
57,54,16,3,20,1.9,CharacterType.ARCHER,46.57270030457577
34,32,70,10,4,1.9,CharacterType.ARCHER,33.82219952023165
33,74,21,3,19,1.5,CharacterType.ARCHER,31.35103098516878
27,72,21,11,19,1.9,CharacterType.ARCHER,30.240889922757383
71,29,11,14,25,1.8,CharacterType.ARCHER,29.820977388926412
46,36,22,21,25,1.8,CharacterType.ARCHER,29.015741222018683
51,16,42,37,4,1.9,CharacterType.ARCHER,28.718779683705733
39,24,59,9,19,1.7,CharacterType.ARCHER,26.026840510062893
62,4,47,28,9,1.9,CharacterType.ARCHER,25.924467227192704
41,34,29,6,40,1.5,CharacterType.ARCHER,25.891709149158956
34,13,90,9,4,1.8,CharacterType.ARCHER,25.482713979514717
37,30,34,9,40,1.8,CharacterType.ARCHER,24.89614737841906
44,14,56,24,12,1.5,CharacterType.ARCHER,24.439862806170314
30,23,57,32,8,1.8,CharacterType.ARCHER,22.009318362641725
26,58,27,25,14,1.6,CharacterType.ARCHER,21.50638536827198
42,29,58,1,20,1.3,CharacterType.ARCHER,20.090953709742013
29,42,17,39,23,2.0,CharacterType.ARCHER,20.034096853095633
25,36,38,37,14,2.0,CharacterType.ARCHER,19.404778537660977
61,4,37,33,15,2.0,CharacterType.ARCHER,19.329109589722243
30,8,81,7,24,1.4,CharacterType.ARCHER,19.248559288764795
51,6,44,9,40,1.7,CharacterType.ARCHER,19.185763655172593
93,14,12,25,6,1.7,CharacterType.ARCHER,19.06106021238854
28,41,22,43,16,1.6,CharacterType.ARCHER,18.027208010868588
86,7,18,23,16,1.8,CharacterType.ARCHER,17.503021649509392
31,18,40,4,57,1.4,CharacterType.ARCHER,17.18183930339827
23,26,51,15,35,1.4,CharacterType.ARCHER,17.154314369416138
17,71,26,31,5,1.4,CharacterType.ARCHER,16.786903475183163
28,45,3,24,50,1.5,CharacterType.ARCHER,16.776001596727674
30,11,59,21,29,1.6,CharacterType.ARCHER,16.72123521667484
20,19,85,22,4,1.8,CharacterType.ARCHER,16.66278058131828
33,2,68,23,24,1.6,CharacterType.ARCHER,15.973581599658612
12,78,31,19,10,1.9,CharacterType.ARCHER,15.51289336459254
34,31,5,19,61,1.5,CharacterType.ARCHER,15.25742129299256
23,5,80,11,31,2.0,CharacterType.ARCHER,15.207965303990237
40,23,8,16,63,2.0,CharacterType.ARCHER,15.203163957656436
23,37,16,49,25,2.0,CharacterType.ARCHER,15.051822620928961
19,28,46,43,14,1.8,CharacterType.ARCHER,14.657045297666786
40,26,2,77,5,1.8,CharacterType.ARCHER,14.290156897035006
42,4,37,4,63,1.6,CharacterType.ARCHER,13.702627096564818
32,22,23,70,3,1.7,CharacterType.ARCHER,13.592201052890099
28,40,25,12,45,1.3,CharacterType.ARCHER,13.39699722372365
18,21,47,24,40,1.4,CharacterType.ARCHER,12.797862383954898
39,8,42,32,29,1.3,CharacterType.ARCHER,12.000143869093323
55,16,3,15,61,1.6,CharacterType.ARCHER,11.704706062191352
19,38,9,38,46,1.7,CharacterType.ARCHER,11.614517217673189
66,3,33,34,14,1.3,CharacterType.ARCHER,11.468012032669078
13,11,97,24,5,1.9,CharacterType.ARCHER,11.325008969204392
28,7,35,11,69,1.6,CharacterType.ARCHER,11.094898947692839
18,54,31,28,19,1.3,CharacterType.ARCHER,11.031866709247847
29,23,3,67,28,1.5,CharacterType.ARCHER,10.655523309205874
24,2,99,11,14,1.3,CharacterType.ARCHER,10.266641929162036
12,7,97,29,5,1.9,CharacterType.ARCHER,9.777123349958341
23,36,5,40,46,1.3,CharacterType.ARCHER,9.665837840844576
13,23,33,39,42,2.0,CharacterType.ARCHER,9.512482923117112
11,39,14,55,31,1.9,CharacterType.ARCHER,9.027134180641998
9,31,84,24,2,1.8,CharacterType.ARCHER,8.949344172504055
13,24,22,24,67,1.9,CharacterType.ARCHER,8.937101823850485
23,27,8,38,54,1.3,CharacterType.ARCHER,8.924542673156822
64,9,2,73,2,1.9,CharacterType.ARCHER,8.895841596847019
8,41,86,14,1,1.7,CharacterType.ARCHER,7.94068356907593
