strength,agility,expertise,resistance,life,height,characterType,performance
24,5,25,3,3,1.8,CharacterType.ARCHER,194.7696405163426
37,4,12,6,1,2.0,CharacterType.ARCHER,144.69491973047892
35,4,12,2,7,1.9,CharacterType.ARCHER,142.41073417768217
24,3,18,4,11,1.7,CharacterType.ARCHER,137.8134765563362
23,18,15,2,2,1.8,CharacterType.ARCHER,131.69506593883295
30,14,11,4,1,2.0,CharacterType.ARCHER,125.35727410719517
15,9,25,2,9,1.6,CharacterType.ARCHER,123.53862657314379
11,6,34,2,7,1.6,CharacterType.ARCHER,118.17486777313019
12,16,27,2,3,1.9,CharacterType.ARCHER,116.3633246247187
9,6,38,6,1,1.4,CharacterType.ARCHER,107.36742142213656
10,5,32,2,11,1.6,CharacterType.ARCHER,102.26054808870595
15,15,18,4,8,1.8,CharacterType.ARCHER,99.28962171345565
24,18,11,6,1,1.3,CharacterType.ARCHER,95.65839496721934
8,2,38,1,11,1.6,CharacterType.ARCHER,94.90812034909291
13,7,22,12,6,1.6,CharacterType.ARCHER,93.9792258514247
12,3,26,13,6,1.3,CharacterType.ARCHER,91.82159385210225
22,8,11,11,8,1.9,CharacterType.ARCHER,89.55240736032239
13,9,20,12,6,1.5,CharacterType.ARCHER,88.83873708498297
35,10,6,5,4,1.9,CharacterType.ARCHER,86.3271942528186
9,1,29,7,14,2.0,CharacterType.ARCHER,84.98554952531099
19,11,12,5,13,2.0,CharacterType.ARCHER,84.74561589725282
21,19,9,10,1,1.9,CharacterType.ARCHER,83.9273216535867
24,6,10,14,6,1.4,CharacterType.ARCHER,83.17014343370663
24,8,9,2,17,1.7,CharacterType.ARCHER,77.87357516812534
7,3,35,12,3,1.4,CharacterType.ARCHER,77.08650528001388
16,13,12,4,15,1.9,CharacterType.ARCHER,75.77840479762058
20,11,10,2,17,1.7,CharacterType.ARCHER,74.83979018493996
10,5,21,18,6,1.8,CharacterType.ARCHER,70.74354432182786
6,4,37,7,6,1.4,CharacterType.ARCHER,70.62119828046984
9,12,21,7,11,1.7,CharacterType.ARCHER,66.07537311969438
11,3,18,19,9,1.7,CharacterType.ARCHER,64.75565899108527
7,16,25,3,9,1.9,CharacterType.ARCHER,64.56812515244792
14,29,11,4,2,1.3,CharacterType.ARCHER,63.68369151470864
10,2,18,19,11,1.9,CharacterType.ARCHER,61.63588226801056
5,14,34,2,5,1.5,CharacterType.ARCHER,57.221877024606485
23,11,6,9,11,1.7,CharacterType.ARCHER,56.48368734026969
24,13,6,10,7,1.3,CharacterType.ARCHER,56.4206757268009
7,20,21,7,5,1.8,CharacterType.ARCHER,55.256252109627596
12,9,14,17,8,1.3,CharacterType.ARCHER,54.892212239065145
9,8,17,12,14,1.6,CharacterType.ARCHER,53.239254438845784
9,26,14,6,5,2.0,CharacterType.ARCHER,53.22257224265124
34,5,4,16,1,1.9,CharacterType.ARCHER,52.99244135195089
20,20,5,8,7,1.7,CharacterType.ARCHER,52.050210533964524
15,17,8,2,18,1.7,CharacterType.ARCHER,51.84415714631294
