strength,agility,expertise,resistance,life,height,characterType,performance,generation
56,47,23,18,6,1.8,CharacterType.ARCHER,40.43454157434601,1
56,47,23,18,6,1.8,CharacterType.ARCHER,40.43454157434601,2
72.0,55.0,0.0,17.0,5.0,1.9,CharacterType.ARCHER,47.30718868714685,3
61.0,86.0,2.0,0.0,0.0,1.9,CharacterType.ARCHER,58.95987386710207,4
61.0,86.0,2.0,0.0,0.0,1.9,CharacterType.ARCHER,58.95987386710207,5
72.0,74.0,2.0,0.0,0.0,1.9,CharacterType.ARCHER,60.51213668726597,6
74.0,74.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.1349556436887,7
74.0,74.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.1349556436887,8
74.0,74.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.1349556436887,9
74.0,74.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.1349556436887,10
74.0,74.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.1349556436887,11
74.0,74.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.1349556436887,12
74.0,74.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.1349556436887,13
74.0,74.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.1349556436887,14
74.0,74.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.1349556436887,15
68.0,80.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,60.63639586927431,16
71.0,76.0,2.0,0.0,0.0,1.9,CharacterType.ARCHER,61.01556361536101,17
67.0,77.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,60.58068783533231,18
71.0,77.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.00191274897486,19
69.0,79.0,2.0,0.0,0.0,1.9,CharacterType.ARCHER,61.33280369358796,20
75.0,70.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,61.058556737295,21
71.0,77.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.00191274897486,22
77.0,68.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,60.91938666565782,23
68.0,77.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.25792166857418,24
74.0,72.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,61.111753090655434,25
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,26
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,27
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,28
77.0,72.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.05821796008243,29
77.0,72.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.05821796008243,30
75.0,74.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,31
76.0,74.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.705931664023424,32
76.0,74.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.705931664023424,33
76.0,74.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.705931664023424,34
71.0,78.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,60.981120849367436,35
68.0,80.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,60.63639586927431,36
75.0,74.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,37
75.0,74.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,38
75.0,73.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.12756487247904,39
75.0,73.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.12756487247904,40
75.0,74.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,41
75.0,73.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.12756487247904,42
75.0,73.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.12756487247904,43
75.0,73.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.12756487247904,44
75.0,74.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,45
69.0,81.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.258043586793356,46
74.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,47
74.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,48
74.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,49
74.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,50
74.0,75.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71284182265162,51
74.0,75.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71284182265162,52
