strength,agility,expertise,resistance,life,height,characterType,performance,generation
70,51,16,9,4,2.0,CharacterType.ARCHER,46.18304913774982,1
73.0,39.0,26.0,6.0,4.0,1.9,CharacterType.ARCHER,50.011477627797895,2
73.0,39.0,26.0,6.0,4.0,1.9,CharacterType.ARCHER,50.011477627797895,3
58.0,47.0,30.0,4.0,9.0,1.9,CharacterType.ARCHER,49.17057032593777,4
58.0,47.0,30.0,4.0,9.0,1.9,CharacterType.ARCHER,49.17057032593777,5
69.0,44.0,28.0,0.0,8.0,1.9,CharacterType.ARCHER,52.92737920059225,6
56.0,70.0,16.0,2.0,4.0,1.9,CharacterType.ARCHER,54.40358989756831,7
56.0,70.0,16.0,2.0,4.0,1.9,CharacterType.ARCHER,54.40358989756831,8
65.0,57.0,26.0,0.0,0.0,1.9,CharacterType.ARCHER,58.41797513574676,9
65.0,57.0,26.0,0.0,0.0,1.9,CharacterType.ARCHER,58.41797513574676,10
77.0,56.0,7.0,6.0,1.0,1.9,CharacterType.ARCHER,54.43505054548751,11
76.0,55.0,17.0,0.0,0.0,1.8,CharacterType.ARCHER,53.25521736440732,12
77.0,55.0,17.0,0.0,0.0,1.8,CharacterType.ARCHER,53.74139235796384,13
75.0,58.0,16.0,0.0,0.0,1.8,CharacterType.ARCHER,54.192966174821976,14
74.0,59.0,16.0,0.0,0.0,1.8,CharacterType.ARCHER,54.308878701520584,15
71.0,56.0,19.0,0.0,3.0,1.9,CharacterType.ARCHER,58.01083465961682,16
74.0,59.0,16.0,0.0,0.0,1.8,CharacterType.ARCHER,54.308878701520584,17
74.0,59.0,16.0,0.0,0.0,1.8,CharacterType.ARCHER,54.308878701520584,18
67.0,69.0,10.0,0.0,3.0,1.8,CharacterType.ARCHER,53.155236823322625,19
70.0,71.0,5.0,1.0,2.0,1.8,CharacterType.ARCHER,53.4770178693859,20
70.0,71.0,5.0,1.0,2.0,1.8,CharacterType.ARCHER,53.4770178693859,21
82.0,61.0,6.0,0.0,0.0,1.8,CharacterType.ARCHER,54.07800788801375,22
86.0,48.0,14.0,0.0,0.0,1.9,CharacterType.ARCHER,56.42415907322551,23
86.0,48.0,14.0,0.0,0.0,1.9,CharacterType.ARCHER,56.42415907322551,24
70.0,69.0,9.0,0.0,0.0,1.9,CharacterType.ARCHER,60.270663714432935,25
67.0,69.0,10.0,0.0,2.0,1.9,CharacterType.ARCHER,58.87892960812953,26
67.0,69.0,10.0,0.0,2.0,1.9,CharacterType.ARCHER,58.87892960812953,27
67.0,69.0,10.0,0.0,2.0,1.9,CharacterType.ARCHER,58.87892960812953,28
67.0,69.0,10.0,0.0,2.0,1.9,CharacterType.ARCHER,58.87892960812953,29
67.0,69.0,10.0,0.0,2.0,1.9,CharacterType.ARCHER,58.87892960812953,30
71.0,73.0,2.0,0.0,2.0,1.9,CharacterType.ARCHER,59.33469342501548,31
82.0,64.0,2.0,0.0,0.0,1.9,CharacterType.ARCHER,59.58179861842609,32
77.0,57.0,14.0,0.0,0.0,1.9,CharacterType.ARCHER,59.26732042021377,33
77.0,68.0,1.0,2.0,0.0,1.9,CharacterType.ARCHER,59.13909402946329,34
75.0,63.0,11.0,0.0,0.0,1.9,CharacterType.ARCHER,60.61470506116127,35
67.0,69.0,10.0,0.0,2.0,1.9,CharacterType.ARCHER,58.87892960812953,36
71.0,73.0,2.0,0.0,2.0,1.9,CharacterType.ARCHER,59.33469342501548,37
71.0,77.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.00191274897486,38
71.0,77.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.00191274897486,39
60.0,80.0,9.0,0.0,0.0,1.9,CharacterType.ARCHER,58.98465311367382,40
66.0,78.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,60.406681253713394,41
68.0,76.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,60.72828810659282,42
68.0,76.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,60.72828810659282,43
68.0,76.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,60.72828810659282,44
74.0,74.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.1349556436887,45
74.0,74.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.1349556436887,46
74.0,74.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.1349556436887,47
66.0,78.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,60.406681253713394,48
82.0,67.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,60.41649721620088,49
67.0,77.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,60.58068783533231,50
67.0,77.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,60.58068783533231,51
69.0,76.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,60.843970308950915,52
70.0,74.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,60.944118131809496,53
73.0,70.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.03791588637687,54
70.0,74.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,60.944118131809496,55
70.0,74.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,60.944118131809496,56
70.0,74.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.49721572615091,57
75.0,72.0,2.0,0.0,0.0,1.9,CharacterType.ARCHER,61.11226547474582,58
75.0,72.0,2.0,0.0,0.0,1.9,CharacterType.ARCHER,61.11226547474582,59
75.0,72.0,2.0,0.0,0.0,1.9,CharacterType.ARCHER,61.11226547474582,60
75.0,72.0,2.0,0.0,0.0,1.9,CharacterType.ARCHER,61.11226547474582,61
70.0,74.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,60.944118131809496,62
70.0,74.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,60.944118131809496,63
69.0,76.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.39177090270463,64
69.0,76.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.39177090270463,65
69.0,76.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.39177090270463,66
74.0,70.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.057744962590476,67
74.0,70.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.057744962590476,68
74.0,74.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.1349556436887,69
74.0,70.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.057744962590476,70
75.0,71.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,61.089306787079494,71
74.0,70.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.057744962590476,72
69.0,73.0,8.0,0.0,0.0,1.9,CharacterType.ARCHER,61.38364923403392,73
69.0,73.0,8.0,0.0,0.0,1.9,CharacterType.ARCHER,61.38364923403392,74
69.0,73.0,8.0,0.0,0.0,1.9,CharacterType.ARCHER,61.38364923403392,75
69.0,73.0,8.0,0.0,0.0,1.9,CharacterType.ARCHER,61.38364923403392,76
69.0,73.0,8.0,0.0,0.0,1.9,CharacterType.ARCHER,61.38364923403392,77
69.0,73.0,8.0,0.0,0.0,1.9,CharacterType.ARCHER,61.38364923403392,78
