strength,agility,expertise,resistance,life,height,characterType,performance,generation
75,31,30,7,7,1.8,CharacterType.ARCHER,41.84779239041499,1
43.0,62.0,27.0,9.0,8.0,1.9,CharacterType.ARCHER,44.14259714592419,2
75.0,45.0,13.0,8.0,7.0,1.9,CharacterType.ARCHER,48.62181966011266,3
75.0,58.0,0.0,3.0,13.0,1.9,CharacterType.ARCHER,50.819503476644485,4
75.0,58.0,0.0,3.0,13.0,1.9,CharacterType.ARCHER,50.819503476644485,5
67.0,52.0,16.0,2.0,11.0,1.9,CharacterType.ARCHER,51.37263056921851,6
74.0,49.0,21.0,2.0,1.0,1.9,CharacterType.ARCHER,55.68423403830327,7
74.0,49.0,21.0,2.0,1.0,1.9,CharacterType.ARCHER,55.68423403830327,8
74.0,49.0,21.0,2.0,1.0,1.9,CharacterType.ARCHER,55.68423403830327,9
76.0,61.0,5.0,6.0,0.0,1.9,CharacterType.ARCHER,56.307365285141685,10
75.0,50.0,21.0,2.0,1.0,1.9,CharacterType.ARCHER,56.98323588761171,11
76.0,61.0,5.0,6.0,0.0,1.9,CharacterType.ARCHER,56.307365285141685,12
80.0,61.0,5.0,2.0,1.0,1.9,CharacterType.ARCHER,58.327979907831065,13
79.0,63.0,5.0,2.0,0.0,1.9,CharacterType.ARCHER,59.232370166977375,14
79.0,63.0,5.0,2.0,0.0,1.9,CharacterType.ARCHER,59.232370166977375,15
79.0,63.0,5.0,2.0,0.0,1.9,CharacterType.ARCHER,59.232370166977375,16
79.0,63.0,5.0,2.0,0.0,1.9,CharacterType.ARCHER,59.232370166977375,17
79.0,63.0,5.0,2.0,0.0,1.9,CharacterType.ARCHER,59.232370166977375,18
79.0,63.0,5.0,2.0,0.0,1.9,CharacterType.ARCHER,59.232370166977375,19
79.0,63.0,5.0,2.0,1.0,1.9,CharacterType.ARCHER,59.23636832212878,20
79.0,63.0,5.0,2.0,1.0,1.9,CharacterType.ARCHER,59.23636832212878,21
74.0,70.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.057744962590476,22
74.0,70.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.057744962590476,23
73.0,76.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.10962976576311,24
76.0,72.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.09430524608095,25
76.0,72.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.09430524608095,26
76.0,72.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.09430524608095,27
75.0,73.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.12756487247904,28
75.0,73.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.12756487247904,29
75.0,73.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.12756487247904,30
75.0,73.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.12756487247904,31
76.0,70.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,61.04068311715189,32
79.0,67.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,60.73801590192212,33
79.0,67.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,60.73801590192212,34
79.0,67.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,60.73801590192212,35
75.0,73.0,0.0,1.0,0.0,1.9,CharacterType.ARCHER,60.54455186586827,36
75.0,73.0,0.0,1.0,0.0,1.9,CharacterType.ARCHER,60.54455186586827,37
75.0,73.0,0.0,1.0,1.0,1.9,CharacterType.ARCHER,60.545351912531295,38
75.0,73.0,0.0,1.0,1.0,1.9,CharacterType.ARCHER,60.545351912531295,39
76.0,73.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.10962976576311,40
75.0,73.0,0.0,1.0,1.0,1.9,CharacterType.ARCHER,60.545351912531295,41
68.0,75.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,60.73315941804497,42
75.0,59.0,15.0,0.0,0.0,1.9,CharacterType.ARCHER,60.171535302569914,43
78.0,70.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,60.95023911668279,44
77.0,68.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,60.91938666565782,45
76.0,70.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,61.04068311715189,46
76.0,70.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,61.04068311715189,47
70.0,71.0,7.0,0.0,0.0,1.9,CharacterType.ARCHER,60.34201687946019,48
70.0,71.0,7.0,0.0,0.0,1.9,CharacterType.ARCHER,60.34201687946019,49
75.0,72.0,2.0,0.0,0.0,1.9,CharacterType.ARCHER,61.11226547474582,50
70.0,66.0,13.0,0.0,0.0,1.9,CharacterType.ARCHER,60.64886367782694,51
79.0,70.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,60.87836314975239,52
72.0,70.0,7.0,0.0,0.0,1.9,CharacterType.ARCHER,60.998744438497944,53
72.0,70.0,7.0,0.0,0.0,1.9,CharacterType.ARCHER,60.998744438497944,54
72.0,70.0,7.0,0.0,0.0,1.9,CharacterType.ARCHER,60.998744438497944,55
73.0,66.0,11.0,0.0,0.0,1.9,CharacterType.ARCHER,61.39765263119064,56
73.0,66.0,11.0,0.0,0.0,1.9,CharacterType.ARCHER,61.39765263119064,57
71.0,74.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.5803198791885,58
71.0,74.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.5803198791885,59
72.0,74.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,61.07806762348756,60
72.0,74.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,61.07806762348756,61
72.0,74.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,61.07806762348756,62
72.0,74.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,61.07806762348756,63
72.0,74.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,61.07806762348756,64
72.0,74.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,61.07806762348756,65
72.0,77.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.05821796008243,66
72.0,77.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.05821796008243,67
75.0,74.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,68
75.0,74.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,69
75.0,74.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,70
75.0,74.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,71
74.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,72
72.0,77.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.05821796008243,73
76.0,73.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.10962976576311,74
