strength,agility,expertise,resistance,life,height,characterType,performance,generation
59,28,56,2,5,2.0,CharacterType.ARCHER,41.48794501644796,1
56.0,55.0,33.0,3.0,3.0,2.0,CharacterType.ARCHER,47.496373060476174,2
94.0,50.0,3.0,2.0,0.0,1.9,CharacterType.ARCHER,54.00411703604321,3
66.0,79.0,2.0,1.0,0.0,1.9,CharacterType.ARCHER,59.32059768724595,4
66.0,79.0,2.0,1.0,0.0,1.9,CharacterType.ARCHER,59.32059768724595,5
66.0,79.0,2.0,1.0,0.0,1.9,CharacterType.ARCHER,59.32059768724595,6
69.0,73.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,60.29121658870364,7
65.0,84.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,59.981107323851894,8
65.0,84.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,59.981107323851894,9
80.0,69.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,60.749977813985886,10
68.0,81.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,60.596006029549436,11
68.0,81.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,60.596006029549436,12
78.0,71.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,60.98112084936742,13
79.0,66.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.27833043042675,14
73.0,71.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.06910746878697,15
73.0,72.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,61.09242864828613,16
76.0,73.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.10962976576311,17
74.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,18
75.0,74.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,19
69.0,81.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.258043586793356,20
69.0,81.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.258043586793356,21
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,22
73.0,77.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.66750888686998,23
71.0,74.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.5803198791885,24
71.0,74.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.5803198791885,25
78.0,68.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,61.46341331750133,26
78.0,68.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,61.46341331750133,27
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,28
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,29
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,30
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,31
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,32
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,33
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,34
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,35
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,36
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,37
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,38
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,39
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,40
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,41
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,42
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,43
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,44
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,45
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,46
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,47
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,48
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,49
