strength,agility,expertise,resistance,life,height,characterType,performance,generation
67,34,35,12,2,1.8,CharacterType.ARCHER,42.82089592399588,1
67.0,34.0,35.0,12.0,2.0,1.8,CharacterType.ARCHER,42.82089592399588,2
62.0,36.0,46.0,1.0,2.0,1.5,CharacterType.ARCHER,43.0710366306146,3
62.0,36.0,46.0,1.0,2.0,1.5,CharacterType.ARCHER,43.0710366306146,4
64.0,69.0,0.0,16.0,0.0,1.5,CharacterType.ARCHER,43.70284455702013,5
73.0,43.0,31.0,1.0,0.0,1.8,CharacterType.ARCHER,50.385268776762544,6
50.0,81.0,8.0,8.0,0.0,1.9,CharacterType.ARCHER,50.726242273088594,7
75.0,65.0,3.0,5.0,0.0,1.9,CharacterType.ARCHER,57.298928670907614,8
88.0,49.0,8.0,3.0,2.0,1.9,CharacterType.ARCHER,54.27886526588112,9
60.0,73.0,11.0,0.0,5.0,1.9,CharacterType.ARCHER,56.62070210704558,10
60.0,73.0,11.0,0.0,5.0,1.9,CharacterType.ARCHER,56.62070210704558,11
63.0,85.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,59.001414982481215,12
61.0,59.0,26.0,0.0,4.0,1.9,CharacterType.ARCHER,56.86232077301242,13
76.0,60.0,9.0,0.0,4.0,1.9,CharacterType.ARCHER,57.97252637851378,14
75.0,66.0,5.0,0.0,1.0,1.9,CharacterType.ARCHER,59.115905557653356,15
77.0,60.0,8.0,0.0,4.0,1.9,CharacterType.ARCHER,57.910132204159034,16
75.0,56.0,15.0,0.0,1.0,1.9,CharacterType.ARCHER,58.048847965907896,17
76.0,57.0,15.0,0.0,1.0,1.9,CharacterType.ARCHER,59.314570138426646,18
77.0,60.0,8.0,0.0,4.0,1.9,CharacterType.ARCHER,57.910132204159034,19
74.0,71.0,1.0,2.0,0.0,1.9,CharacterType.ARCHER,59.357313501846804,20
64.0,55.0,26.0,4.0,0.0,1.9,CharacterType.ARCHER,56.443658562965325,21
74.0,50.0,22.0,2.0,0.0,1.9,CharacterType.ARCHER,56.98479459162221,22
74.0,50.0,22.0,2.0,0.0,1.9,CharacterType.ARCHER,56.98479459162221,23
74.0,66.0,8.0,0.0,0.0,1.9,CharacterType.ARCHER,60.279869264618156,24
74.0,66.0,8.0,0.0,0.0,1.9,CharacterType.ARCHER,60.279869264618156,25
78.0,69.0,2.0,0.0,0.0,1.9,CharacterType.ARCHER,60.911576361267386,26
78.0,69.0,2.0,0.0,0.0,1.9,CharacterType.ARCHER,60.911576361267386,27
75.0,69.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,60.43803758319478,28
75.0,69.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,60.43803758319478,29
75.0,55.0,18.0,0.0,0.0,1.9,CharacterType.ARCHER,59.019278997284324,30
78.0,60.0,10.0,2.0,0.0,1.9,CharacterType.ARCHER,59.600433824131876,31
71.0,62.0,15.0,0.0,0.0,1.9,CharacterType.ARCHER,59.83684600118108,32
84.0,64.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,59.9002525690991,33
66.0,74.0,9.0,0.0,0.0,1.9,CharacterType.ARCHER,60.434828257671384,34
76.0,66.0,7.0,0.0,0.0,1.9,CharacterType.ARCHER,60.83791145998114,35
83.0,65.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,60.13929572457366,36
69.0,60.0,19.0,0.0,0.0,1.9,CharacterType.ARCHER,59.43811811643497,37
70.0,59.0,19.0,1.0,0.0,1.9,CharacterType.ARCHER,59.41137516478555,38
68.0,77.0,1.0,0.0,3.0,1.9,CharacterType.ARCHER,59.08967198659905,39
68.0,78.0,1.0,0.0,2.0,1.9,CharacterType.ARCHER,59.612017370229424,40
74.0,74.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,60.557453609288814,41
69.0,50.0,31.0,0.0,0.0,1.9,CharacterType.ARCHER,58.768636000379445,42
78.0,62.0,7.0,0.0,2.0,1.9,CharacterType.ARCHER,59.22860004901076,43
78.0,68.0,2.0,0.0,0.0,1.9,CharacterType.ARCHER,60.26623191814806,44
73.0,60.0,15.0,0.0,0.0,1.9,CharacterType.ARCHER,59.70872156093131,45
73.0,60.0,15.0,0.0,0.0,1.9,CharacterType.ARCHER,59.70872156093131,46
73.0,60.0,15.0,0.0,0.0,1.9,CharacterType.ARCHER,59.70872156093131,47
72.0,66.0,10.0,0.0,0.0,1.9,CharacterType.ARCHER,60.23094077858647,48
68.0,74.0,7.0,0.0,0.0,1.9,CharacterType.ARCHER,60.73052424068393,49
72.0,69.0,8.0,0.0,0.0,1.9,CharacterType.ARCHER,60.959156150636,50
72.0,69.0,8.0,0.0,0.0,1.9,CharacterType.ARCHER,60.959156150636,51
72.0,69.0,8.0,0.0,0.0,1.9,CharacterType.ARCHER,60.959156150636,52
72.0,69.0,8.0,0.0,0.0,1.9,CharacterType.ARCHER,60.959156150636,53
72.0,62.0,15.0,0.0,0.0,1.9,CharacterType.ARCHER,60.44753127882653,54
74.0,67.0,7.0,0.0,0.0,1.9,CharacterType.ARCHER,60.34244779226971,55
75.0,64.0,10.0,0.0,0.0,1.9,CharacterType.ARCHER,60.70342821058153,56
74.0,67.0,7.0,0.0,0.0,1.9,CharacterType.ARCHER,60.34244779226971,57
70.0,73.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,60.935059113821595,58
83.0,66.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,60.21150902287409,59
75.0,61.0,11.0,0.0,0.0,1.9,CharacterType.ARCHER,59.26157259884926,60
79.0,68.0,2.0,0.0,0.0,1.9,CharacterType.ARCHER,60.79274396208544,61
79.0,68.0,2.0,0.0,0.0,1.9,CharacterType.ARCHER,60.79274396208544,62
66.0,74.0,8.0,0.0,0.0,1.9,CharacterType.ARCHER,59.90774357194126,63
75.0,65.0,9.0,0.0,0.0,1.9,CharacterType.ARCHER,60.78352591776587,64
68.0,67.0,8.0,5.0,0.0,1.9,CharacterType.ARCHER,57.27362825480397,65
88.0,61.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,58.8069705563656,66
72.0,77.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.05821796008243,67
72.0,77.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.05821796008243,68
72.0,77.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.05821796008243,69
77.0,72.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.05821796008243,70
75.0,69.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,60.43803758319478,71
75.0,69.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,60.43803758319478,72
82.0,54.0,13.0,0.0,0.0,1.9,CharacterType.ARCHER,58.92634112313293,73
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,74
76.0,63.0,8.0,0.0,2.0,1.9,CharacterType.ARCHER,59.43864445183803,75
84.0,65.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,59.98110732385188,76
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,77
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,78
80.0,65.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,60.51379488272471,79
80.0,65.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,60.51379488272471,80
80.0,65.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,60.51379488272471,81
80.0,65.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,60.51379488272471,82
80.0,65.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,60.51379488272471,83
76.0,70.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,61.04068311715189,84
67.0,76.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,60.59226403878343,85
65.0,65.0,19.0,0.0,0.0,1.9,CharacterType.ARCHER,59.850671337675756,86
68.0,73.0,7.0,1.0,0.0,1.9,CharacterType.ARCHER,60.18031863400981,87
72.0,69.0,7.0,0.0,0.0,1.9,CharacterType.ARCHER,60.396044808215905,88
77.0,72.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.05821796008243,89
77.0,72.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.05821796008243,90
66.0,76.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,59.90692955284042,91
78.0,67.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,60.21197784519011,92
83.0,56.0,6.0,3.0,0.0,1.9,CharacterType.ARCHER,56.62720700081544,93
70.0,77.0,2.0,0.0,0.0,1.9,CharacterType.ARCHER,60.92633422939282,94
70.0,77.0,2.0,0.0,0.0,1.9,CharacterType.ARCHER,60.92633422939282,95
83.0,63.0,2.0,0.0,0.0,1.9,CharacterType.ARCHER,59.34609109693746,96
62.0,84.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,59.343055691394255,97
86.0,59.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,59.00023870573922,98
82.0,67.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,60.41649721620088,99
83.0,48.0,18.0,0.0,0.0,1.9,CharacterType.ARCHER,57.580599139317215,100
70.0,79.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,60.87836314975239,101
76.0,73.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.10962976576311,102
70.0,75.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,60.94559515019148,103
55.0,80.0,14.0,0.0,0.0,1.9,CharacterType.ARCHER,57.23928370393463,104
81.0,68.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,60.596006029549436,105
80.0,70.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.39871939409765,106
82.0,57.0,11.0,0.0,0.0,1.9,CharacterType.ARCHER,60.01520192219812,107
82.0,57.0,11.0,0.0,0.0,1.9,CharacterType.ARCHER,60.01520192219812,108
82.0,57.0,11.0,0.0,0.0,1.9,CharacterType.ARCHER,60.01520192219812,109
88.0,54.0,5.0,2.0,0.0,1.9,CharacterType.ARCHER,56.51964277616286,110
61.0,56.0,32.0,0.0,0.0,1.9,CharacterType.ARCHER,57.74659809478535,111
61.0,56.0,32.0,0.0,0.0,1.9,CharacterType.ARCHER,57.74659809478535,112
61.0,57.0,32.0,0.0,0.0,1.9,CharacterType.ARCHER,58.36111122526247,113
68.0,57.0,20.0,2.0,0.0,1.9,CharacterType.ARCHER,57.35568434948026,114
67.0,81.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,59.92608997094454,115
72.0,77.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.05821796008243,116
82.0,56.0,8.0,3.0,0.0,1.9,CharacterType.ARCHER,57.410586513074364,117
83.0,56.0,8.0,3.0,0.0,1.9,CharacterType.ARCHER,57.870345093301815,118
70.0,69.0,8.0,0.0,0.0,1.9,CharacterType.ARCHER,59.7198802577299,119
67.0,63.0,19.0,0.0,0.0,1.9,CharacterType.ARCHER,60.02540257340995,120
69.0,61.0,19.0,0.0,0.0,1.9,CharacterType.ARCHER,60.08561223491266,121
69.0,61.0,19.0,0.0,0.0,1.9,CharacterType.ARCHER,60.08561223491266,122
69.0,61.0,19.0,0.0,0.0,1.9,CharacterType.ARCHER,60.08561223491266,123
67.0,77.0,3.0,0.0,1.0,1.9,CharacterType.ARCHER,59.50991972154825,124
63.0,72.0,11.0,0.0,2.0,1.9,CharacterType.ARCHER,58.29262432288191,125
80.0,52.0,16.0,1.0,0.0,1.9,CharacterType.ARCHER,58.20075015922779,126
69.0,77.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,60.83115158530205,127
78.0,42.0,27.0,0.0,1.0,1.9,CharacterType.ARCHER,55.444503216802495,128
72.0,56.0,21.0,0.0,0.0,1.9,CharacterType.ARCHER,59.664002281663144,129
80.0,51.0,18.0,0.0,0.0,1.9,CharacterType.ARCHER,58.59742542763568,130
