strength,agility,expertise,resistance,life,height,characterType,performance,generation
56,72,3,16,3,2.0,CharacterType.ARCHER,43.59275256022569,1
61.0,79.0,3.0,2.0,3.0,2.0,CharacterType.ARCHER,49.69808329707122,2
61.0,80.0,3.0,2.0,3.0,1.9,CharacterType.ARCHER,56.78587450270303,3
61.0,80.0,3.0,2.0,3.0,1.9,CharacterType.ARCHER,56.78587450270303,4
61.0,80.0,3.0,2.0,3.0,1.9,CharacterType.ARCHER,56.78587450270303,5
61.0,80.0,3.0,2.0,3.0,1.9,CharacterType.ARCHER,56.78587450270303,6
61.0,80.0,3.0,2.0,3.0,1.9,CharacterType.ARCHER,56.78587450270303,7
63.0,81.0,0.0,4.0,0.0,1.9,CharacterType.ARCHER,57.167585171350986,8
70.0,64.0,13.0,0.0,1.0,1.9,CharacterType.ARCHER,59.410162706035116,9
75.0,68.0,5.0,0.0,1.0,1.9,CharacterType.ARCHER,60.39429964350916,10
74.0,69.0,5.0,0.0,1.0,1.9,CharacterType.ARCHER,60.44548953205516,11
74.0,69.0,5.0,0.0,1.0,1.9,CharacterType.ARCHER,60.44548953205516,12
64.0,83.0,2.0,0.0,0.0,1.9,CharacterType.ARCHER,59.846787218465956,13
64.0,83.0,2.0,0.0,0.0,1.9,CharacterType.ARCHER,59.846787218465956,14
74.0,61.0,12.0,0.0,0.0,1.9,CharacterType.ARCHER,59.27134417910374,15
74.0,61.0,14.0,0.0,0.0,1.9,CharacterType.ARCHER,60.40704840969515,16
66.0,83.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,60.21150902287409,17
75.0,74.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,18
75.0,74.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,19
75.0,74.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,20
75.0,74.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,21
75.0,74.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,22
74.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,23
74.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,24
74.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,25
74.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,26
74.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,27
74.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,28
74.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,29
74.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,30
73.0,77.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.66750888686998,31
73.0,77.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.66750888686998,32
73.0,77.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.66750888686998,33
73.0,77.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.66750888686998,34
73.0,77.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.66750888686998,35
73.0,77.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.66750888686998,36
73.0,77.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.66750888686998,37
73.0,77.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.66750888686998,38
73.0,77.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.66750888686998,39
73.0,77.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.66750888686998,40
75.0,74.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,41
75.0,74.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,42
75.0,74.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,43
75.0,74.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,44
75.0,74.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734,45
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,46
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,47
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,48
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,49
74.0,74.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.1349556436887,50
72.0,76.0,1.0,0.0,1.0,1.9,CharacterType.ARCHER,61.072601408262564,51
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,52
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,53
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,54
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,55
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,56
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,57
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,58
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,59
74.0,75.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71284182265162,60
74.0,75.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71284182265162,61
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,62
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,63
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,64
74.0,75.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71284182265162,65
74.0,75.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71284182265162,66
74.0,75.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71284182265162,67
74.0,75.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71284182265162,68
74.0,75.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71284182265162,69
74.0,75.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71284182265162,70
74.0,75.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71284182265162,71
