strength,agility,expertise,resistance,life,height,characterType,performance,generation
56,19,66,3,6,1.8,CharacterType.ARCHER,37.73168830260523,1
53.0,45.0,30.0,19.0,3.0,1.5,CharacterType.ARCHER,37.58515957249461,2
59.0,50.0,35.0,1.0,2.0,1.8,CharacterType.ARCHER,48.625865336186365,3
57.0,77.0,6.0,1.0,6.0,1.4,CharacterType.ARCHER,45.33574953994473,4
71.0,46.0,22.0,8.0,1.0,1.8,CharacterType.ARCHER,47.24576991738752,5
61.0,68.0,12.0,6.0,0.0,1.8,CharacterType.ARCHER,49.83220539611514,6
64.0,73.0,9.0,2.0,0.0,2.0,CharacterType.ARCHER,51.622895274518704,7
65.0,42.0,36.0,3.0,1.0,1.9,CharacterType.ARCHER,52.85017586027556,8
68.0,67.0,10.0,4.0,0.0,1.8,CharacterType.ARCHER,52.66985276528619,9
69.0,70.0,6.0,4.0,0.0,1.8,CharacterType.ARCHER,52.877318656324086,10
69.0,70.0,6.0,4.0,0.0,1.8,CharacterType.ARCHER,52.877318656324086,11
80.0,65.0,0.0,3.0,1.0,1.8,CharacterType.ARCHER,52.42550153851194,12
58.0,54.0,34.0,2.0,0.0,1.9,CharacterType.ARCHER,55.13251533541679,13
69.0,60.0,19.0,0.0,1.0,1.8,CharacterType.ARCHER,53.66217900048557,14
71.0,75.0,0.0,2.0,0.0,1.8,CharacterType.ARCHER,53.563399176349755,15
67.0,77.0,5.0,0.0,0.0,2.0,CharacterType.ARCHER,53.45669260132859,16
68.0,55.0,20.0,0.0,5.0,1.9,CharacterType.ARCHER,56.0601277430305,17
66.0,63.0,16.0,3.0,0.0,1.9,CharacterType.ARCHER,57.80166408200403,18
75.0,70.0,0.0,3.0,1.0,1.9,CharacterType.ARCHER,58.73006948350969,19
73.0,70.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,59.89692788583746,20
79.0,66.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,60.07153454949079,21
73.0,70.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,59.89692788583746,22
73.0,75.0,0.0,1.0,0.0,1.9,CharacterType.ARCHER,60.54455186586827,23
73.0,75.0,0.0,1.0,0.0,1.9,CharacterType.ARCHER,60.54455186586827,24
73.0,75.0,0.0,1.0,0.0,1.9,CharacterType.ARCHER,60.54455186586827,25
73.0,75.0,0.0,1.0,0.0,1.9,CharacterType.ARCHER,60.54455186586827,26
73.0,75.0,0.0,1.0,0.0,1.9,CharacterType.ARCHER,60.54455186586827,27
73.0,75.0,0.0,1.0,0.0,1.9,CharacterType.ARCHER,60.54455186586827,28
73.0,75.0,0.0,1.0,0.0,1.9,CharacterType.ARCHER,60.54455186586827,29
