strength,agility,expertise,resistance,life,height,characterType,performance,generation
59,40,30,19,2,1.9,CharacterType.ARCHER,45.03008426542861,1
59.0,40.0,30.0,19.0,2.0,1.9,CharacterType.ARCHER,45.03008426542861,2
73.0,48.0,14.0,5.0,7.0,1.8,CharacterType.ARCHER,45.66683921952789,3
57.0,56.0,33.0,1.0,0.0,1.8,CharacterType.ARCHER,49.75356737382,4
70.0,43.0,23.0,12.0,0.0,1.9,CharacterType.ARCHER,50.01668824646093,5
66.0,44.0,33.0,3.0,2.0,1.9,CharacterType.ARCHER,53.54692658021811,6
61.0,54.0,32.0,1.0,0.0,1.9,CharacterType.ARCHER,56.49877676069339,7
61.0,54.0,32.0,1.0,0.0,1.9,CharacterType.ARCHER,56.49877676069339,8
61.0,54.0,33.0,1.0,0.0,1.9,CharacterType.ARCHER,56.94900018822157,9
61.0,54.0,33.0,1.0,0.0,1.9,CharacterType.ARCHER,56.94900018822157,10
72.0,73.0,1.0,0.0,3.0,1.9,CharacterType.ARCHER,59.37359687728295,11
64.0,59.0,24.0,0.0,1.0,1.9,CharacterType.ARCHER,58.01886108310458,12
64.0,59.0,24.0,0.0,1.0,1.9,CharacterType.ARCHER,58.01886108310458,13
68.0,51.0,29.0,0.0,0.0,1.9,CharacterType.ARCHER,57.84813509079794,14
71.0,68.0,6.0,1.0,2.0,1.9,CharacterType.ARCHER,58.63124200152397,15
71.0,61.0,15.0,0.0,0.0,1.9,CharacterType.ARCHER,59.18276272724866,16
75.0,58.0,16.0,0.0,0.0,1.9,CharacterType.ARCHER,60.038205944069254,17
67.0,62.0,19.0,0.0,0.0,1.9,CharacterType.ARCHER,59.405710980732124,18
74.0,70.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,60.48139635562184,19
74.0,70.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,60.48139635562184,20
74.0,70.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,60.48139635562184,21
80.0,59.0,10.0,0.0,0.0,1.9,CharacterType.ARCHER,59.90823042913267,22
80.0,59.0,10.0,0.0,0.0,1.9,CharacterType.ARCHER,59.90823042913267,23
80.0,59.0,10.0,0.0,0.0,1.9,CharacterType.ARCHER,59.90823042913267,24
75.0,63.0,9.0,0.0,3.0,1.9,CharacterType.ARCHER,59.47318372452285,25
75.0,63.0,9.0,0.0,3.0,1.9,CharacterType.ARCHER,59.47318372452285,26
75.0,63.0,9.0,0.0,3.0,1.9,CharacterType.ARCHER,59.47318372452285,27
75.0,63.0,9.0,0.0,3.0,1.9,CharacterType.ARCHER,59.47318372452285,28
67.0,76.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,60.59226403878343,29
67.0,76.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,60.59226403878343,30
72.0,71.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.03030409061241,31
72.0,71.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.03030409061241,32
72.0,71.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.03030409061241,33
72.0,71.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.03030409061241,34
77.0,65.0,7.0,0.0,0.0,1.9,CharacterType.ARCHER,60.73083023662706,35
74.0,69.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.018864355146235,36
75.0,68.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,60.973168939452606,37
77.0,66.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,60.80197053798263,38
81.0,63.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,60.23826519998902,39
78.0,70.0,0.0,0.0,1.0,1.9,CharacterType.ARCHER,60.3511095776233,40
77.0,70.0,0.0,0.0,2.0,1.9,CharacterType.ARCHER,59.816928179187926,41
79.0,68.0,2.0,0.0,0.0,1.9,CharacterType.ARCHER,60.79274396208544,42
79.0,68.0,2.0,0.0,0.0,1.9,CharacterType.ARCHER,60.79274396208544,43
72.0,69.0,8.0,0.0,0.0,1.9,CharacterType.ARCHER,60.959156150636,44
72.0,69.0,8.0,0.0,0.0,1.9,CharacterType.ARCHER,60.959156150636,45
73.0,75.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.1164731473312,46
73.0,75.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.1164731473312,47
73.0,75.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.1164731473312,48
73.0,75.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.1164731473312,49
73.0,75.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.1164731473312,50
70.0,68.0,12.0,0.0,0.0,1.9,CharacterType.ARCHER,61.31910929312674,51
75.0,64.0,11.0,0.0,0.0,1.9,CharacterType.ARCHER,61.28007502239604,52
75.0,64.0,11.0,0.0,0.0,1.9,CharacterType.ARCHER,61.28007502239604,53
75.0,64.0,11.0,0.0,0.0,1.9,CharacterType.ARCHER,61.28007502239604,54
76.0,69.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.5894004727495,55
75.0,64.0,11.0,0.0,0.0,1.9,CharacterType.ARCHER,61.28007502239604,56
75.0,64.0,11.0,0.0,0.0,1.9,CharacterType.ARCHER,61.28007502239604,57
75.0,64.0,11.0,0.0,0.0,1.9,CharacterType.ARCHER,61.28007502239604,58
75.0,64.0,11.0,0.0,0.0,1.9,CharacterType.ARCHER,61.28007502239604,59
75.0,64.0,11.0,0.0,0.0,1.9,CharacterType.ARCHER,61.28007502239604,60
75.0,64.0,11.0,0.0,0.0,1.9,CharacterType.ARCHER,61.28007502239604,61
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,62
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.71874060523081,63
75.0,64.0,11.0,0.0,0.0,1.9,CharacterType.ARCHER,61.28007502239604,64
75.0,64.0,11.0,0.0,0.0,1.9,CharacterType.ARCHER,61.28007502239604,65
75.0,64.0,11.0,0.0,0.0,1.9,CharacterType.ARCHER,61.28007502239604,66
75.0,64.0,11.0,0.0,0.0,1.9,CharacterType.ARCHER,61.28007502239604,67
75.0,64.0,11.0,0.0,0.0,1.9,CharacterType.ARCHER,61.28007502239604,68
75.0,64.0,11.0,0.0,0.0,1.9,CharacterType.ARCHER,61.28007502239604,69
75.0,64.0,11.0,0.0,0.0,1.9,CharacterType.ARCHER,61.28007502239604,70
75.0,64.0,11.0,0.0,0.0,1.9,CharacterType.ARCHER,61.28007502239604,71
75.0,72.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,61.694928825076786,72
75.0,64.0,11.0,0.0,0.0,1.9,CharacterType.ARCHER,61.28007502239604,73
75.0,64.0,11.0,0.0,0.0,1.9,CharacterType.ARCHER,61.28007502239604,74
75.0,64.0,11.0,0.0,0.0,1.9,CharacterType.ARCHER,61.28007502239604,75
72.0,71.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.03030409061241,76
72.0,71.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.03030409061241,77
72.0,71.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.03030409061241,78
72.0,71.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.03030409061241,79
72.0,71.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.03030409061241,80
72.0,71.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.03030409061241,81
72.0,71.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.03030409061241,82
