strength,agility,expertise,resistance,life,height,characterType,performance
76,45,10,2,17,1.9,CharacterType.ARCHER,47.35214284683012
47,63,15,10,15,1.9,CharacterType.ARCHER,43.626070211398215
77,57,1,8,7,1.4,CharacterType.ARCHER,43.48456286269644
51,41,53,1,4,1.5,CharacterType.ARCHER,41.45322407109381
43,68,10,20,9,1.9,CharacterType.ARCHER,40.57339036661139
67,19,54,7,3,2.0,CharacterType.ARCHER,38.295848910672014
71,43,4,12,20,1.8,CharacterType.ARCHER,36.47778523624373
44,59,5,16,26,1.9,CharacterType.ARCHER,35.814561094667035
43,56,15,9,27,2.0,CharacterType.ARCHER,33.15587149252327
34,82,17,10,7,1.5,CharacterType.ARCHER,33.03029112461604
62,32,21,24,11,2.0,CharacterType.ARCHER,32.66134510212886
65,42,11,16,16,1.6,CharacterType.ARCHER,32.273153561431904
67,16,46,18,3,1.5,CharacterType.ARCHER,31.675496404229587
93,17,27,2,11,1.4,CharacterType.ARCHER,30.922595668307927
47,43,6,22,32,1.9,CharacterType.ARCHER,30.208751913962207
79,26,14,4,27,1.5,CharacterType.ARCHER,29.115934775069505
30,105,7,3,5,1.6,CharacterType.ARCHER,28.946990450412077
59,18,29,34,10,1.9,CharacterType.ARCHER,28.55649682878107
62,6,61,12,9,1.4,CharacterType.ARCHER,27.84348583649199
60,9,54,15,12,1.5,CharacterType.ARCHER,27.352615317631145
63,5,45,6,31,1.9,CharacterType.ARCHER,26.630119651415562
89,6,39,4,12,1.4,CharacterType.ARCHER,26.22997095801421
31,54,9,47,9,1.9,CharacterType.ARCHER,25.48853858115714
52,26,14,45,13,1.9,CharacterType.ARCHER,25.20682065430495
30,54,38,26,2,1.6,CharacterType.ARCHER,25.045262782522165
49,22,30,31,18,1.4,CharacterType.ARCHER,23.78639355024957
23,75,30,16,6,1.4,CharacterType.ARCHER,23.781251002001195
47,16,40,37,10,2.0,CharacterType.ARCHER,23.451147211320798
36,29,29,4,52,1.8,CharacterType.ARCHER,22.485440595047955
37,31,29,1,52,1.5,CharacterType.ARCHER,22.421942604697865
34,53,8,17,38,1.6,CharacterType.ARCHER,21.947279056324184
41,3,59,17,30,1.9,CharacterType.ARCHER,21.811872546005276
18,48,62,15,7,1.9,CharacterType.ARCHER,21.435168794997335
37,13,49,36,15,1.8,CharacterType.ARCHER,20.530137511526323
66,27,3,30,24,1.6,CharacterType.ARCHER,20.465793667552532
49,56,4,24,17,1.3,CharacterType.ARCHER,20.183496776807395
76,8,26,10,30,1.5,CharacterType.ARCHER,20.056437469176807
65,28,1,18,38,1.6,CharacterType.ARCHER,19.98126107926903
67,1,46,21,15,1.7,CharacterType.ARCHER,19.980732488004037
18,81,27,21,3,1.4,CharacterType.ARCHER,19.093994283027218
47,15,28,14,46,1.7,CharacterType.ARCHER,18.2516811763121
23,40,17,34,36,1.9,CharacterType.ARCHER,17.815909367471
42,32,4,35,37,1.7,CharacterType.ARCHER,17.65575586520892
39,12,36,24,39,1.4,CharacterType.ARCHER,17.369923517794845
20,83,4,5,38,1.6,CharacterType.ARCHER,17.060190472798528
