strength,agility,expertise,resistance,life,height,characterType,performance
55,42,32,13,8,1.8,CharacterType.ARCHER,40.5144042282434
41,53,34,5,17,2.0,CharacterType.ARCHER,36.17469865581274
72,21,26,7,24,1.9,CharacterType.ARCHER,34.35347607763609
52,40,30,9,19,1.7,CharacterType.ARCHER,32.999584883638185
100,17,20,5,8,1.8,CharacterType.ARCHER,30.29409918961086
56,14,39,29,12,1.9,CharacterType.ARCHER,28.60857839852187
29,55,49,14,3,1.5,CharacterType.ARCHER,28.348413850932904
84,18,14,20,14,1.9,CharacterType.ARCHER,27.753606776776817
40,18,49,3,40,1.9,CharacterType.ARCHER,27.113102956246593
35,49,25,28,13,1.4,CharacterType.ARCHER,26.613282970843937
44,24,52,22,8,1.6,CharacterType.ARCHER,26.481477405880124
87,39,13,8,3,1.3,CharacterType.ARCHER,25.463480531004993
51,51,26,5,17,1.3,CharacterType.ARCHER,24.13576646409232
66,16,26,3,39,1.4,CharacterType.ARCHER,23.897863778969594
45,30,28,40,7,1.6,CharacterType.ARCHER,23.567416173353394
22,109,4,12,3,1.4,CharacterType.ARCHER,22.926534307280555
38,12,58,22,20,2.0,CharacterType.ARCHER,22.24968611878978
47,14,49,37,3,1.6,CharacterType.ARCHER,21.945228246844277
28,57,13,51,1,2.0,CharacterType.ARCHER,21.899322095568326
25,77,14,25,9,1.6,CharacterType.ARCHER,21.89013075361942
39,42,10,38,21,1.7,CharacterType.ARCHER,21.75592051919343
43,14,48,12,33,1.7,CharacterType.ARCHER,21.588323055389907
45,23,18,63,1,1.9,CharacterType.ARCHER,21.539317483713337
23,73,15,26,13,1.5,CharacterType.ARCHER,21.304170835419374
64,22,8,53,3,1.8,CharacterType.ARCHER,20.781617546417706
61,22,13,30,24,1.7,CharacterType.ARCHER,20.57512622783837
53,14,25,16,42,2.0,CharacterType.ARCHER,19.95644204739779
102,13,12,10,13,1.6,CharacterType.ARCHER,18.890421964795728
61,1,49,34,5,1.6,CharacterType.ARCHER,18.86613245659576
42,8,43,3,54,2.0,CharacterType.ARCHER,18.656123278775155
43,54,8,20,25,1.3,CharacterType.ARCHER,18.640554501757062
45,7,47,24,27,1.6,CharacterType.ARCHER,18.439543560905978
57,18,12,17,46,2.0,CharacterType.ARCHER,18.40745806913946
32,5,67,14,32,2.0,CharacterType.ARCHER,18.26974629342965
14,79,31,15,11,1.9,CharacterType.ARCHER,18.135358197611893
71,6,27,7,39,1.5,CharacterType.ARCHER,18.131374771836704
20,51,33,19,27,1.6,CharacterType.ARCHER,16.876839533069557
75,1,56,7,11,1.3,CharacterType.ARCHER,16.77950540092534
32,7,60,18,33,1.7,CharacterType.ARCHER,16.670533577419793
18,73,6,27,26,2.0,CharacterType.ARCHER,16.60532129499156
24,33,33,21,39,1.6,CharacterType.ARCHER,16.173904372866765
19,40,47,3,41,1.7,CharacterType.ARCHER,16.069414495813984
34,7,61,46,2,1.7,CharacterType.ARCHER,16.05879616928242
