strength,agility,expertise,resistance,life,height,characterType,performance,generation
49,70,18,3,10,1.8,CharacterType.ARCHER,44.74307189054102,1
79.0,38.0,29.0,1.0,2.0,1.4,CharacterType.ARCHER,45.13018264471619,2
71.0,56.0,7.0,8.0,5.0,1.9,CharacterType.ARCHER,51.425597660650915,3
71.0,56.0,7.0,8.0,5.0,1.9,CharacterType.ARCHER,51.425597660650915,4
71.0,56.0,7.0,8.0,5.0,1.9,CharacterType.ARCHER,51.425597660650915,5
71.0,56.0,7.0,8.0,5.0,1.9,CharacterType.ARCHER,51.425597660650915,6
71.0,56.0,7.0,8.0,5.0,1.9,CharacterType.ARCHER,51.425597660650915,7
71.0,56.0,7.0,8.0,5.0,1.9,CharacterType.ARCHER,51.425597660650915,8
71.0,56.0,7.0,8.0,5.0,1.9,CharacterType.ARCHER,51.425597660650915,9
71.0,56.0,7.0,8.0,5.0,1.9,CharacterType.ARCHER,51.425597660650915,10
71.0,56.0,7.0,8.0,5.0,1.9,CharacterType.ARCHER,51.425597660650915,11
76.0,63.0,5.0,0.0,4.0,1.8,CharacterType.ARCHER,52.06971944260349,12
76.0,63.0,5.0,0.0,4.0,1.8,CharacterType.ARCHER,52.06971944260349,13
70.0,55.0,18.0,0.0,4.0,1.9,CharacterType.ARCHER,56.1932097520604,14
70.0,55.0,18.0,0.0,4.0,1.9,CharacterType.ARCHER,56.1932097520604,15
70.0,55.0,18.0,0.0,4.0,1.9,CharacterType.ARCHER,56.1932097520604,16
70.0,55.0,18.0,0.0,4.0,1.9,CharacterType.ARCHER,56.1932097520604,17
70.0,55.0,18.0,0.0,4.0,1.9,CharacterType.ARCHER,56.1932097520604,18
70.0,55.0,18.0,0.0,4.0,1.9,CharacterType.ARCHER,56.1932097520604,19
70.0,55.0,18.0,0.0,4.0,1.9,CharacterType.ARCHER,56.1932097520604,20
70.0,55.0,18.0,0.0,4.0,1.9,CharacterType.ARCHER,56.1932097520604,21
70.0,55.0,18.0,0.0,4.0,1.9,CharacterType.ARCHER,56.1932097520604,22
70.0,55.0,18.0,0.0,4.0,1.9,CharacterType.ARCHER,56.1932097520604,23
70.0,55.0,18.0,0.0,4.0,1.9,CharacterType.ARCHER,56.1932097520604,24
70.0,55.0,18.0,0.0,4.0,1.9,CharacterType.ARCHER,56.1932097520604,25
70.0,55.0,18.0,0.0,4.0,1.9,CharacterType.ARCHER,56.1932097520604,26
70.0,55.0,18.0,0.0,4.0,1.9,CharacterType.ARCHER,56.1932097520604,27
70.0,55.0,18.0,0.0,4.0,1.9,CharacterType.ARCHER,56.1932097520604,28
70.0,55.0,18.0,0.0,4.0,1.9,CharacterType.ARCHER,56.1932097520604,29
70.0,55.0,18.0,0.0,4.0,1.9,CharacterType.ARCHER,56.1932097520604,30
77.0,64.0,3.0,0.0,3.0,1.9,CharacterType.ARCHER,57.69590759566661,31
77.0,64.0,3.0,0.0,3.0,1.9,CharacterType.ARCHER,57.69590759566661,32
77.0,64.0,3.0,0.0,3.0,1.9,CharacterType.ARCHER,57.69590759566661,33
72.0,73.0,1.0,3.0,0.0,1.9,CharacterType.ARCHER,59.372157177171154,34
72.0,73.0,1.0,3.0,0.0,1.9,CharacterType.ARCHER,59.372157177171154,35
72.0,73.0,1.0,3.0,0.0,1.9,CharacterType.ARCHER,59.372157177171154,36
72.0,73.0,1.0,3.0,0.0,1.9,CharacterType.ARCHER,59.372157177171154,37
65.0,69.0,14.0,0.0,0.0,1.9,CharacterType.ARCHER,59.59876622698512,38
73.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,60.54455186586827,39
73.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,60.54455186586827,40
