strength,agility,expertise,resistance,life,height,characterType,performance,generation
51,34,54,4,7,1.5,CharacterType.ARCHER,38.14362608064567,1
65.0,41.0,28.0,4.0,8.0,1.5,CharacterType.ARCHER,41.01456086628448,2
46.0,81.0,1.0,5.0,14.0,1.9,CharacterType.ARCHER,44.515434171992,3
60.0,41.0,37.0,3.0,7.0,1.4,CharacterType.ARCHER,41.72374250621376,4
66.0,45.0,28.0,9.0,0.0,1.4,CharacterType.ARCHER,43.604677385326454,5
51.0,48.0,45.0,2.0,1.0,1.5,CharacterType.ARCHER,42.55091962219508,6
77.0,34.0,32.0,3.0,0.0,1.5,CharacterType.ARCHER,42.95149818785802,7
58.0,65.0,23.0,1.0,0.0,1.8,CharacterType.ARCHER,51.05056312080992,8
52.0,77.0,17.0,1.0,0.0,1.6,CharacterType.ARCHER,43.03887856322909,9
59.0,52.0,35.0,0.0,1.0,1.8,CharacterType.ARCHER,49.74474896929624,10
74.0,42.0,26.0,0.0,6.0,1.9,CharacterType.ARCHER,52.96522890680715,11
75.0,67.0,6.0,0.0,0.0,1.8,CharacterType.ARCHER,54.4633117686617,12
79.0,38.0,30.0,1.0,0.0,1.9,CharacterType.ARCHER,54.14222791788379,13
57.0,54.0,36.0,0.0,0.0,1.8,CharacterType.ARCHER,49.82662156293306,14
58.0,55.0,36.0,0.0,0.0,1.8,CharacterType.ARCHER,51.07666660091796,15
81.0,36.0,32.0,0.0,0.0,1.9,CharacterType.ARCHER,54.38794044761371,16
54.0,72.0,23.0,0.0,0.0,1.9,CharacterType.ARCHER,56.75758300417276,17
91.0,23.0,35.0,0.0,0.0,1.9,CharacterType.ARCHER,47.203703591719766,18
88.0,43.0,2.0,15.0,0.0,1.8,CharacterType.ARCHER,40.711074374757786,19
60.0,50.0,24.0,11.0,2.0,2.0,CharacterType.ARCHER,43.79874420464315,20
61.0,51.0,24.0,11.0,2.0,2.0,CharacterType.ARCHER,44.950312525259044,21
56.0,79.0,0.0,9.0,4.0,1.9,CharacterType.ARCHER,51.197611236108656,22
66.0,41.0,41.0,1.0,0.0,1.9,CharacterType.ARCHER,54.99803332926763,23
51.0,80.0,13.0,0.0,5.0,1.9,CharacterType.ARCHER,53.35012791017367,24
43.0,71.0,29.0,0.0,5.0,1.9,CharacterType.ARCHER,48.43324228635716,25
64.0,56.0,23.0,5.0,0.0,1.5,CharacterType.ARCHER,47.036378907744684,26
76.0,52.0,21.0,0.0,0.0,1.5,CharacterType.ARCHER,49.91951775774732,27
65.0,38.0,41.0,0.0,3.0,1.5,CharacterType.ARCHER,44.138863030136825,28
66.0,38.0,41.0,0.0,3.0,1.5,CharacterType.ARCHER,44.65479707049568,29
72.0,45.0,27.0,3.0,1.0,1.9,CharacterType.ARCHER,54.76334133768656,30
67.0,53.0,25.0,2.0,0.0,1.9,CharacterType.ARCHER,56.591626058969105,31
46.0,78.0,24.0,0.0,0.0,1.9,CharacterType.ARCHER,52.244690227740215,32
60.0,51.0,30.0,8.0,0.0,1.5,CharacterType.ARCHER,44.79654048533053,33
86.0,45.0,2.0,3.0,12.0,1.9,CharacterType.ARCHER,46.2593763778961,34
78.0,62.0,8.0,0.0,0.0,1.5,CharacterType.ARCHER,50.584100373973016,35
50.0,84.0,4.0,0.0,10.0,1.9,CharacterType.ARCHER,50.201558676837834,36
83.0,59.0,5.0,1.0,0.0,1.9,CharacterType.ARCHER,58.28628658078312,37
81.0,10.0,57.0,1.0,0.0,1.9,CharacterType.ARCHER,41.88655679780772,38
79.0,10.0,57.0,2.0,2.0,1.9,CharacterType.ARCHER,41.23978333100039,39
42.0,70.0,22.0,5.0,8.0,1.9,CharacterType.ARCHER,44.70526428564635,40
