strength,agility,expertise,resistance,life,height,characterType,performance,generation
44,75,13,17,1,1.8,CharacterType.WARRIOR,27.23633831792754,1
41.0,58.0,34.0,9.0,6.0,1.9,CharacterType.WARRIOR,29.043149753432346,2
43.0,94.0,8.0,0.0,2.0,1.9,CharacterType.WARRIOR,32.40510738591149,3
84.0,50.0,10.0,0.0,3.0,1.9,CharacterType.WARRIOR,36.56472949300071,4
68.0,40.0,38.0,0.0,3.0,1.9,CharacterType.WARRIOR,36.261342821908855,5
76.0,65.0,6.0,0.0,1.0,2.0,CharacterType.WARRIOR,35.07258271573473,6
58.0,78.0,9.0,0.0,4.0,1.9,CharacterType.WARRIOR,37.73480105054768,7
69.0,75.0,5.0,0.0,0.0,1.9,CharacterType.WARRIOR,40.56629459640116,8
69.0,75.0,5.0,0.0,0.0,1.9,CharacterType.WARRIOR,40.56629459640116,9
69.0,67.0,13.0,0.0,0.0,1.9,CharacterType.WARRIOR,40.408905711664055,10
69.0,67.0,13.0,0.0,0.0,1.9,CharacterType.WARRIOR,40.408905711664055,11
69.0,67.0,13.0,0.0,0.0,1.9,CharacterType.WARRIOR,40.408905711664055,12
69.0,67.0,13.0,0.0,0.0,1.9,CharacterType.WARRIOR,40.408905711664055,13
71.0,65.0,13.0,0.0,0.0,1.9,CharacterType.WARRIOR,40.43775164985101,14
74.0,65.0,10.0,0.0,0.0,1.9,CharacterType.WARRIOR,40.52086733219113,15
72.0,77.0,0.0,0.0,0.0,1.9,CharacterType.WARRIOR,40.70547864005495,16
77.0,72.0,0.0,0.0,0.0,1.9,CharacterType.WARRIOR,40.70547864005495,17
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.WARRIOR,41.14582707015387,18
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.WARRIOR,41.14582707015387,19
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.WARRIOR,41.14582707015387,20
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.WARRIOR,41.14582707015387,21
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.WARRIOR,41.14582707015387,22
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.WARRIOR,41.14582707015387,23
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.WARRIOR,41.14582707015387,24
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.WARRIOR,41.14582707015387,25
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.WARRIOR,41.14582707015387,26
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.WARRIOR,41.14582707015387,27
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.WARRIOR,41.14582707015387,28
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.WARRIOR,41.14582707015387,29
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.WARRIOR,41.14582707015387,30
73.0,77.0,0.0,0.0,0.0,1.9,CharacterType.WARRIOR,41.11167259124665,31
73.0,77.0,0.0,0.0,0.0,1.9,CharacterType.WARRIOR,41.11167259124665,32
73.0,77.0,0.0,0.0,0.0,1.9,CharacterType.WARRIOR,41.11167259124665,33
76.0,69.0,5.0,0.0,0.0,1.9,CharacterType.WARRIOR,41.059600315166335,34
76.0,69.0,5.0,0.0,0.0,1.9,CharacterType.WARRIOR,41.059600315166335,35
76.0,69.0,5.0,0.0,0.0,1.9,CharacterType.WARRIOR,41.059600315166335,36
76.0,69.0,5.0,0.0,0.0,1.9,CharacterType.WARRIOR,41.059600315166335,37
76.0,69.0,5.0,0.0,0.0,1.9,CharacterType.WARRIOR,41.059600315166335,38
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.WARRIOR,41.14582707015387,39
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.WARRIOR,41.14582707015387,40
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.WARRIOR,41.14582707015387,41
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.WARRIOR,41.14582707015387,42
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.WARRIOR,41.14582707015387,43
75.0,75.0,0.0,0.0,0.0,1.9,CharacterType.WARRIOR,41.14582707015387,44
72.0,73.0,5.0,0.0,0.0,1.9,CharacterType.WARRIOR,41.089984385573786,45
76.0,69.0,5.0,0.0,0.0,1.9,CharacterType.WARRIOR,41.059600315166335,46
76.0,69.0,5.0,0.0,0.0,1.9,CharacterType.WARRIOR,41.059600315166335,47
