strength,agility,expertise,resistance,life,height,characterType,performance,generation
76,32,30,9,3,1.9,CharacterType.ARCHER,47.56260153373552,1
76.0,32.0,30.0,9.0,3.0,1.9,CharacterType.ARCHER,47.56260153373552,2
76.0,32.0,30.0,9.0,3.0,1.9,CharacterType.ARCHER,47.56260153373552,3
62.0,70.0,13.0,3.0,0.0,1.9,CharacterType.ARCHER,57.49883212119623,4
62.0,70.0,13.0,3.0,0.0,1.9,CharacterType.ARCHER,57.49883212119623,5
76.0,57.0,16.0,0.0,0.0,1.9,CharacterType.ARCHER,59.88197789734095,6
83.0,55.0,10.0,0.0,1.0,1.9,CharacterType.ARCHER,58.33795818835434,7
70.0,74.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,60.39046764254033,8
73.0,71.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.06910746878697,9
73.0,71.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.06910746878697,10
61.0,82.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,59.19052208460714,11
61.0,63.0,26.0,0.0,0.0,1.9,CharacterType.ARCHER,59.15745640379043,12
74.0,52.0,19.0,3.0,0.0,1.9,CharacterType.ARCHER,56.823063753703366,13
79.0,62.0,4.0,0.0,3.0,1.9,CharacterType.ARCHER,57.937491465293334,14
76.0,55.0,15.0,2.0,0.0,1.9,CharacterType.ARCHER,57.852022087710566,15
77.0,55.0,15.0,2.0,0.0,1.9,CharacterType.ARCHER,58.380162011978754,16
71.0,63.0,13.0,1.0,0.0,1.9,CharacterType.ARCHER,59.38434747074669,17
70.0,64.0,13.0,1.0,0.0,1.9,CharacterType.ARCHER,59.40395705324024,18
70.0,64.0,14.0,1.0,0.0,1.9,CharacterType.ARCHER,59.948740521215356,19
70.0,64.0,14.0,1.0,0.0,1.9,CharacterType.ARCHER,59.948740521215356,20
63.0,86.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,59.44436800377653,21
70.0,79.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,60.87836314975239,22
67.0,68.0,13.0,0.0,0.0,1.9,CharacterType.ARCHER,59.88068706167543,23
67.0,68.0,13.0,0.0,0.0,1.9,CharacterType.ARCHER,59.88068706167543,24
67.0,68.0,13.0,0.0,0.0,1.9,CharacterType.ARCHER,59.88068706167543,25
67.0,68.0,13.0,0.0,0.0,1.9,CharacterType.ARCHER,59.88068706167543,26
77.0,51.0,21.0,0.0,0.0,1.9,CharacterType.ARCHER,58.8031654039207,27
74.0,63.0,12.0,0.0,0.0,1.9,CharacterType.ARCHER,60.61168605988001,28
74.0,63.0,12.0,0.0,0.0,1.9,CharacterType.ARCHER,60.61168605988001,29
78.0,59.0,12.0,0.0,0.0,1.9,CharacterType.ARCHER,60.06992966437081,30
79.0,63.0,7.0,0.0,0.0,1.9,CharacterType.ARCHER,60.436757193489704,31
73.0,71.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,60.498328468485425,32
75.0,63.0,11.0,0.0,0.0,1.9,CharacterType.ARCHER,60.61470506116127,33
69.0,69.0,11.0,0.0,0.0,1.9,CharacterType.ARCHER,60.720730913931305,34
75.0,53.0,21.0,0.0,0.0,1.9,CharacterType.ARCHER,59.23230528967611,35
66.0,63.0,19.0,0.0,1.0,1.9,CharacterType.ARCHER,59.35549227118188,36
74.0,64.0,11.0,0.0,0.0,1.9,CharacterType.ARCHER,60.700820723263824,37
74.0,64.0,11.0,0.0,0.0,1.9,CharacterType.ARCHER,60.700820723263824,38
78.0,68.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,60.86500213519693,39
78.0,68.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,60.86500213519693,40
72.0,71.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.03030409061241,41
81.0,66.0,2.0,0.0,0.0,1.9,CharacterType.ARCHER,60.477421830362005,42
