strength,agility,expertise,resistance,life,height,characterType,performance
44.0,42.0,30.0,10.0,22.0,1.9,CharacterType.ARCHER,36.65598758918337
43.0,72.0,8.0,16.0,9.0,2.0,CharacterType.ARCHER,36.56256027590721
36.0,73.0,6.0,6.0,27.0,1.9,CharacterType.ARCHER,35.00826760175645
62.0,18.0,56.0,9.0,2.0,1.7,CharacterType.ARCHER,32.66085522777147
61.0,51.0,4.0,6.0,28.0,1.6,CharacterType.ARCHER,32.64001342894519
35.0,45.0,33.0,30.0,5.0,1.9,CharacterType.ARCHER,31.739893974479898
37.0,80.0,9.0,9.0,13.0,1.6,CharacterType.ARCHER,30.826849487853558
80.0,38.0,2.0,11.0,16.0,1.6,CharacterType.ARCHER,30.19569055652179
65.0,30.0,14.0,7.0,31.0,1.8,CharacterType.ARCHER,30.0310383974527
36.0,75.0,11.0,26.0,0.0,1.7,CharacterType.ARCHER,29.613115018965765
50.0,6.0,72.0,13.0,7.0,1.8,CharacterType.ARCHER,27.782827091290923
44.0,8.0,76.0,20.0,2.0,2.0,CharacterType.ARCHER,26.053654406365034
48.0,46.0,6.0,34.0,13.0,1.6,CharacterType.ARCHER,25.59671938430527
77.0,10.0,32.0,25.0,3.0,2.0,CharacterType.ARCHER,25.052260374285378
40.0,29.0,20.0,12.0,49.0,1.9,CharacterType.ARCHER,24.14846118022415
75.0,25.0,9.0,13.0,25.0,1.7,CharacterType.ARCHER,23.7369472993881
60.0,5.0,52.0,25.0,5.0,1.5,CharacterType.ARCHER,23.66787596912854
55.0,13.0,40.0,6.0,36.0,1.7,CharacterType.ARCHER,23.017448365519137
20.0,46.0,71.0,4.0,9.0,1.8,CharacterType.ARCHER,22.06194525568268
64.0,18.0,14.0,38.0,14.0,2.0,CharacterType.ARCHER,20.565716514053157
26.0,17.0,86.0,11.0,7.0,1.5,CharacterType.ARCHER,19.675110510889642
19.0,70.0,8.0,15.0,35.0,1.9,CharacterType.ARCHER,19.264948702922226
32.0,33.0,8.0,21.0,56.0,1.9,CharacterType.ARCHER,18.386424544311083
16.0,65.0,45.0,12.0,12.0,1.4,CharacterType.ARCHER,17.32163463881048
23.0,20.0,61.0,8.0,35.0,1.5,CharacterType.ARCHER,16.770820645576887
73.0,19.0,5.0,47.0,3.0,1.6,CharacterType.ARCHER,16.50350552026574
16.0,79.0,10.0,19.0,26.0,1.8,CharacterType.ARCHER,16.342907026801807
49.0,2.0,35.0,34.0,30.0,1.5,CharacterType.ARCHER,14.673538420776858
29.0,9.0,41.0,29.0,40.0,1.4,CharacterType.ARCHER,13.819705994529135
16.0,74.0,6.0,39.0,12.0,1.7,CharacterType.ARCHER,13.468984284038411
23.0,57.0,34.0,33.0,1.0,1.3,CharacterType.ARCHER,13.055920879778194
81.0,0.0,25.0,38.0,4.0,1.4,CharacterType.ARCHER,12.885183978766149
28.0,6.0,40.0,28.0,45.0,2.0,CharacterType.ARCHER,12.71995685940376
23.0,26.0,77.0,16.0,7.0,1.3,CharacterType.ARCHER,12.321631641308162
22.0,45.0,19.0,23.0,38.0,1.3,CharacterType.ARCHER,11.302634964369421
39.0,31.0,9.0,65.0,6.0,1.3,CharacterType.ARCHER,11.209931354809136
12.0,54.0,19.0,13.0,52.0,1.6,CharacterType.ARCHER,10.05492126298959
20.0,36.0,2.0,74.0,15.0,1.7,CharacterType.ARCHER,9.717469112673962
14.0,45.0,6.0,19.0,66.0,1.5,CharacterType.ARCHER,9.613835697221697
16.0,43.0,2.0,6.0,81.0,1.8,CharacterType.ARCHER,9.607987641152757
20.0,12.0,52.0,21.0,42.0,1.3,CharacterType.ARCHER,9.604812833900395
14.0,3.0,70.0,24.0,37.0,1.8,CharacterType.ARCHER,9.585776426514881
14.0,6.0,68.0,26.0,36.0,1.6,CharacterType.ARCHER,9.393365233855835
12.0,36.0,13.0,32.0,54.0,1.9,CharacterType.ARCHER,9.251456347954962
29.0,6.0,22.0,37.0,54.0,1.6,CharacterType.ARCHER,9.22273558979995
8.0,68.0,26.0,8.0,38.0,2.0,CharacterType.ARCHER,8.862102174829003
34.0,10.0,24.0,7.0,72.0,1.3,CharacterType.ARCHER,8.452488543687803
18.0,1.0,42.0,53.0,35.0,2.0,CharacterType.ARCHER,8.399753574051228
7.0,83.0,32.0,1.0,25.0,1.7,CharacterType.ARCHER,7.955256069863876
14.0,17.0,18.0,48.0,53.0,1.6,CharacterType.ARCHER,7.729775977847764
10.0,10.0,60.0,6.0,62.0,1.5,CharacterType.ARCHER,7.677995265360893
15.0,2.0,48.0,3.0,82.0,1.4,CharacterType.ARCHER,7.664965778753594
36.0,22.0,2.0,9.0,79.0,1.3,CharacterType.ARCHER,7.43544687527864
9.0,19.0,37.0,36.0,49.0,1.4,CharacterType.ARCHER,7.332686756889037
19.0,13.0,25.0,16.0,74.0,1.3,CharacterType.ARCHER,7.26566909646953
11.0,1.0,72.0,38.0,25.0,1.7,CharacterType.ARCHER,7.143715027406113
7.0,14.0,76.0,5.0,45.0,2.0,CharacterType.ARCHER,6.774854190057491
45.0,16.0,1.0,5.0,83.0,1.3,CharacterType.ARCHER,6.211841183892659
11.0,9.0,32.0,73.0,23.0,1.7,CharacterType.ARCHER,5.777819014069207
15.0,2.0,69.0,53.0,9.0,1.3,CharacterType.ARCHER,5.762677610536899
6.0,7.0,45.0,32.0,58.0,1.7,CharacterType.ARCHER,5.722038867300256
59.0,8.0,0.0,2.0,78.0,1.7,CharacterType.ARCHER,5.326126375083216
8.0,4.0,84.0,50.0,2.0,1.8,CharacterType.ARCHER,5.1457056342964105
12.0,4.0,16.0,33.0,83.0,1.4,CharacterType.ARCHER,5.089283747384729
5.0,18.0,29.0,43.0,53.0,1.9,CharacterType.ARCHER,4.8864362562329955
17.0,7.0,5.0,92.0,29.0,1.3,CharacterType.ARCHER,4.77665533761542
60.0,3.0,4.0,11.0,72.0,2.0,CharacterType.ARCHER,4.7373673485562495
14.0,8.0,33.0,91.0,1.0,1.6,CharacterType.ARCHER,4.645469887370096
5.0,55.0,14.0,1.0,73.0,2.0,CharacterType.ARCHER,4.520840823902314
6.0,2.0,7.0,40.0,93.0,1.5,CharacterType.ARCHER,3.7550195276231495
1.0,2.0,27.0,33.0,84.0,1.5,CharacterType.ARCHER,3.7040511909874887
5.0,10.0,96.0,25.0,12.0,1.3,CharacterType.ARCHER,3.525037259977747
5.0,2.0,4.0,43.0,93.0,2.0,CharacterType.ARCHER,3.433150311971498
2.0,55.0,18.0,30.0,42.0,1.9,CharacterType.ARCHER,3.122687449035901
1.0,29.0,23.0,35.0,59.0,2.0,CharacterType.ARCHER,3.0650139848995295
3.0,8.0,12.0,93.0,32.0,1.8,CharacterType.ARCHER,3.0250049597267834
2.0,74.0,0.0,25.0,46.0,2.0,CharacterType.ARCHER,2.7518219775679507
2.0,1.0,7.0,27.0,111.0,1.9,CharacterType.ARCHER,2.12461571253241
4.0,6.0,4.0,4.0,129.0,1.6,CharacterType.ARCHER,1.0424634778412516
0.0,8.0,8.0,6.0,125.0,1.4,CharacterType.ARCHER,0.9783310541256127
