strength,agility,expertise,resistance,life,height,characterType,performance
52.0,2.0,87.0,1.0,5.0,1.3,CharacterType.ARCHER,984.2731262318322
58.0,2.0,64.0,6.0,16.0,1.7,CharacterType.ARCHER,946.0353477165933
58.0,0.0,58.0,3.0,29.0,1.4,CharacterType.ARCHER,884.3873181123924
58.0,0.0,59.0,2.0,28.0,1.3,CharacterType.ARCHER,821.002470854642
98.0,3.0,28.0,7.0,12.0,1.9,CharacterType.ARCHER,702.2885792589733
50.0,19.0,46.0,8.0,27.0,1.6,CharacterType.ARCHER,680.3396582196976
49.0,8.0,46.0,3.0,42.0,1.6,CharacterType.ARCHER,646.9804880175175
47.0,4.0,46.0,9.0,42.0,1.5,CharacterType.ARCHER,624.8812805807999
40.0,1.0,46.0,11.0,49.0,1.9,CharacterType.ARCHER,558.9842240618729
51.0,55.0,28.0,10.0,6.0,1.7,CharacterType.ARCHER,531.0669642633062
22.0,1.0,95.0,25.0,3.0,2.0,CharacterType.ARCHER,521.5453329642261
35.0,31.0,40.0,41.0,1.0,1.7,CharacterType.ARCHER,458.02310569804416
94.0,10.0,18.0,3.0,22.0,1.6,CharacterType.ARCHER,454.05180605870095
35.0,36.0,37.0,37.0,2.0,1.8,CharacterType.ARCHER,451.55581399711633
95.0,33.0,13.0,6.0,0.0,1.6,CharacterType.ARCHER,425.32419576310764
16.0,11.0,103.0,16.0,4.0,1.6,CharacterType.ARCHER,398.4541958707806
36.0,9.0,34.0,36.0,33.0,2.0,CharacterType.ARCHER,390.3716569011191
25.0,32.0,46.0,10.0,37.0,1.4,CharacterType.ARCHER,387.93583283031126
95.0,2.0,14.0,36.0,0.0,1.8,CharacterType.ARCHER,343.3361137413632
20.0,37.0,38.0,30.0,25.0,1.9,CharacterType.ARCHER,283.49960017189505
99.0,16.0,9.0,23.0,0.0,1.5,CharacterType.ARCHER,282.1657035627237
13.0,1.0,65.0,44.0,27.0,1.5,CharacterType.ARCHER,248.40282820247478
10.0,7.0,94.0,21.0,16.0,1.3,CharacterType.ARCHER,228.6524121816343
103.0,19.0,6.0,3.0,16.0,1.7,CharacterType.ARCHER,224.09241838852722
45.0,48.0,8.0,2.0,45.0,1.7,CharacterType.ARCHER,208.2673637449778
11.0,49.0,43.0,2.0,42.0,1.6,CharacterType.ARCHER,177.45520214567784
6.0,2.0,85.0,2.0,55.0,1.7,CharacterType.ARCHER,155.45713394157124
35.0,50.0,6.0,51.0,6.0,1.9,CharacterType.ARCHER,154.62366223180788
7.0,57.0,65.0,13.0,5.0,1.6,CharacterType.ARCHER,146.94757010467393
43.0,44.0,4.0,14.0,42.0,1.4,CharacterType.ARCHER,142.98713848580226
9.0,98.0,38.0,0.0,2.0,1.7,CharacterType.ARCHER,139.16225419092024
35.0,46.0,5.0,39.0,25.0,1.5,CharacterType.ARCHER,132.9346462575777
51.0,43.0,2.0,10.0,42.0,1.4,CharacterType.ARCHER,132.69312978900754
56.0,0.0,8.0,75.0,7.0,1.7,CharacterType.ARCHER,129.20737906209703
5.0,4.0,53.0,1.0,85.0,2.0,CharacterType.ARCHER,99.83982925835727
58.0,9.0,4.0,6.0,71.0,2.0,CharacterType.ARCHER,94.86532364738254
46.0,43.0,0.0,18.0,42.0,1.5,CharacterType.ARCHER,93.90451234243739
9.0,23.0,26.0,45.0,47.0,1.6,CharacterType.ARCHER,92.53545077610589
20.0,62.0,5.0,4.0,57.0,2.0,CharacterType.ARCHER,92.43970579159209
24.0,8.0,10.0,100.0,6.0,1.5,CharacterType.ARCHER,86.16686997313182
26.0,3.0,9.0,15.0,94.0,1.8,CharacterType.ARCHER,83.39926161564422
4.0,62.0,60.0,16.0,5.0,1.7,CharacterType.ARCHER,81.48610049120165
24.0,58.0,2.0,26.0,40.0,1.6,CharacterType.ARCHER,81.17502462101751
20.0,6.0,11.0,95.0,15.0,1.4,CharacterType.ARCHER,77.78759059179676
10.0,68.0,13.0,1.0,55.0,1.6,CharacterType.ARCHER,76.1671848958993
13.0,11.0,14.0,8.0,102.0,1.8,CharacterType.ARCHER,73.08113163517523
2.0,2.0,98.0,6.0,39.0,1.3,CharacterType.ARCHER,71.34683279121664
10.0,60.0,12.0,12.0,56.0,1.7,CharacterType.ARCHER,70.73653795662902
17.0,12.0,10.0,96.0,12.0,2.0,CharacterType.ARCHER,66.83640477723492
32.0,1.0,6.0,13.0,96.0,1.6,CharacterType.ARCHER,64.33001558504917
3.0,49.0,40.0,8.0,48.0,1.6,CharacterType.ARCHER,55.31430683136013
16.0,28.0,6.0,2.0,95.0,1.3,CharacterType.ARCHER,53.232959487272055
