strength,agility,expertise,resistance,life,height,characterType,performance
72.0,71.0,7.0,0.0,0.0,1.9,CharacterType.ARCHER,61.59420302794747
76.0,68.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.542247232914434
76.0,68.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.542247232914434
74.0,70.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.057744962590476
73.0,70.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.03791588637687
76.0,68.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,60.955554595675146
69.0,76.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,60.843970308950915
77.0,66.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,60.80197053798263
81.0,68.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,60.596006029549436
81.0,65.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,60.40599512984159
73.0,68.0,7.0,0.0,0.0,1.9,CharacterType.ARCHER,60.38269057803068
66.0,80.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,60.34913465409574
68.0,75.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,60.191820241790055
76.0,71.0,0.0,0.0,1.0,1.9,CharacterType.ARCHER,59.894576364388456
62.0,81.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,59.49005989807169
64.0,64.0,20.0,0.0,0.0,1.9,CharacterType.ARCHER,59.056031873373215
60.0,85.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,58.75173834643898
65.0,74.0,5.0,0.0,3.0,1.9,CharacterType.ARCHER,57.654081388247214
71.0,70.0,1.0,5.0,0.0,1.9,CharacterType.ARCHER,57.025458208441805
61.0,54.0,33.0,0.0,0.0,1.9,CharacterType.ARCHER,56.94900018822157
55.0,88.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,56.38946152724575
72.0,64.0,5.0,7.0,0.0,1.9,CharacterType.ARCHER,56.1451972957804
93.0,52.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,56.075733237361135
74.0,72.0,3.0,0.0,0.0,1.8,CharacterType.ARCHER,55.16199420101283
65.0,69.0,5.0,8.0,0.0,1.9,CharacterType.ARCHER,54.921347375139774
48.0,98.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,52.64126938748532
56.0,81.0,1.0,9.0,0.0,1.9,CharacterType.ARCHER,52.50414047908554
64.0,59.0,26.0,0.0,0.0,2.0,CharacterType.ARCHER,52.04636793229653
47.0,95.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,52.006031517810165
45.0,90.0,14.0,0.0,0.0,1.9,CharacterType.ARCHER,51.62147939891568
62.0,58.0,12.0,0.0,16.0,1.9,CharacterType.ARCHER,50.20276210160604
103.0,42.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,49.127543435206896
43.0,101.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,48.972754149552706
67.0,77.0,5.0,0.0,0.0,1.7,CharacterType.ARCHER,48.4638375123645
73.0,68.0,7.0,0.0,0.0,1.7,CharacterType.ARCHER,48.305442036039715
76.0,68.0,5.0,0.0,0.0,1.6,CharacterType.ARCHER,47.9927726753642
64.0,83.0,2.0,0.0,0.0,1.7,CharacterType.ARCHER,47.87672565350423
73.0,68.0,7.0,0.0,0.0,1.6,CharacterType.ARCHER,47.54173367235499
40.0,106.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,46.71567918996637
58.0,73.0,18.0,0.0,0.0,1.7,CharacterType.ARCHER,46.692257892860724
61.0,57.0,5.0,25.0,0.0,1.9,CharacterType.ARCHER,45.39719876406177
38.0,107.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,44.80651344349098
61.0,54.0,4.0,29.0,0.0,1.9,CharacterType.ARCHER,43.03639921596048
39.0,39.0,71.0,0.0,0.0,1.9,CharacterType.ARCHER,41.91602614964334
37.0,39.0,73.0,0.0,0.0,1.9,CharacterType.ARCHER,40.358172884355774
38.0,36.0,75.0,0.0,0.0,1.9,CharacterType.ARCHER,40.30328642478691
55.0,54.0,2.0,0.0,37.0,1.9,CharacterType.ARCHER,38.703358221184985
32.0,29.0,87.0,0.0,0.0,1.9,CharacterType.ARCHER,33.286369056092056
48.0,48.0,1.0,51.0,0.0,1.9,CharacterType.ARCHER,30.875225715354446
44.0,44.0,3.0,0.0,58.0,1.9,CharacterType.ARCHER,27.391042770419737
45.0,40.0,3.0,60.0,0.0,1.9,CharacterType.ARCHER,25.68596403584761
42.0,37.0,3.0,0.0,66.0,1.9,CharacterType.ARCHER,22.67280222626818
46.0,41.0,3.0,58.0,0.0,1.5,CharacterType.ARCHER,22.616711390749835
40.0,36.0,3.0,0.0,69.0,1.9,CharacterType.ARCHER,21.198966225417617
39.0,38.0,1.0,69.0,0.0,1.9,CharacterType.ARCHER,20.94801957236929
39.0,35.0,3.0,0.0,71.0,1.9,CharacterType.ARCHER,20.22138136634228
35.0,33.0,2.0,0.0,77.0,1.9,CharacterType.ARCHER,17.071425026821174
35.0,31.0,2.0,0.0,79.0,1.9,CharacterType.ARCHER,16.141896937972145
32.0,29.0,2.0,85.0,0.0,1.9,CharacterType.ARCHER,13.927729242937758
29.0,30.0,2.0,0.0,87.0,1.9,CharacterType.ARCHER,13.159474334308044
