strength,agility,expertise,resistance,life,height,characterType,performance
21,6,2,76,45,1.9,CharacterType.ARCHER,0.9375
1,13,34,73,29,1.9,CharacterType.ARCHER,0.95
6,28,1,45,70,1.7,CharacterType.ARCHER,0.975
6,73,25,10,36,1.4,CharacterType.ARCHER,0.8625
6,73,25,10,36,1.4,CharacterType.ARCHER,0.8625
10,55,16,68,1,1.7,CharacterType.ARCHER,0.8375
21,6,2,76,45,1.9,CharacterType.ARCHER,0.9375
50,17,7,15,61,1.3,CharacterType.ARCHER,0.7
26,63,13,24,24,1.4,CharacterType.ARCHER,0.6
10,22,19,30,69,1.5,CharacterType.ARCHER,0.825
102,23,5,18,2,2.0,CharacterType.ARCHER,0.5
50,7,10,28,55,1.9,CharacterType.ARCHER,0.6125
38,19,32,35,26,1.6,CharacterType.ARCHER,0.2
51,7,19,4,69,1.5,CharacterType.ARCHER,0.325
27,46,7,11,59,1.7,CharacterType.ARCHER,0.7375
21,86,1,22,20,1.7,CharacterType.ARCHER,0.7875
13,53,27,49,8,1.5,CharacterType.ARCHER,0.65
26,63,13,24,24,1.4,CharacterType.ARCHER,0.6
84,10,8,12,36,1.4,CharacterType.ARCHER,0.5125
67,3,7,43,30,1.5,CharacterType.ARCHER,0.6625
4,86,22,25,13,1.9,CharacterType.ARCHER,0.9125
22,69,32,3,24,1.6,CharacterType.ARCHER,0.4
43,15,5,30,57,1.9,CharacterType.ARCHER,0.775
51,6,11,26,56,1.5,CharacterType.ARCHER,0.5875
50,7,10,28,55,1.9,CharacterType.ARCHER,0.6125
17,55,13,59,6,1.4,CharacterType.ARCHER,0.7625
10,40,33,8,59,1.3,CharacterType.ARCHER,0.7125
6,36,2,3,103,1.4,CharacterType.ARCHER,0.9625
21,86,1,22,20,1.7,CharacterType.ARCHER,0.7875
10,40,33,8,59,1.3,CharacterType.ARCHER,0.7125
21,1,44,83,1,1.5,CharacterType.ARCHER,0.4125
67,3,7,43,30,1.5,CharacterType.ARCHER,0.6625
32,53,6,44,15,1.5,CharacterType.ARCHER,0.675
11,9,56,3,71,1.5,CharacterType.ARCHER,0.525
27,46,7,11,59,1.7,CharacterType.ARCHER,0.7375
10,22,19,30,69,1.5,CharacterType.ARCHER,0.825
4,49,32,39,26,1.7,CharacterType.ARCHER,0.8875
33,10,36,49,22,1.7,CharacterType.ARCHER,0.225
14,9,69,18,40,1.5,CharacterType.ARCHER,0.375
27,46,7,11,59,1.7,CharacterType.ARCHER,0.7375
3,19,49,58,21,1.6,CharacterType.ARCHER,0.9
43,15,5,30,57,1.9,CharacterType.ARCHER,0.775
50,17,7,15,61,1.3,CharacterType.ARCHER,0.7
13,53,27,49,8,1.5,CharacterType.ARCHER,0.65
10,25,74,39,2,1.3,CharacterType.ARCHER,0.55
10,40,33,8,59,1.3,CharacterType.ARCHER,0.7125
10,22,19,30,69,1.5,CharacterType.ARCHER,0.825
6,73,25,10,36,1.4,CharacterType.ARCHER,0.8625
27,53,10,35,25,1.4,CharacterType.ARCHER,0.6375
32,53,6,44,15,1.5,CharacterType.ARCHER,0.675
1,13,34,73,29,1.9,CharacterType.ARCHER,0.95
17,86,28,4,15,1.3,CharacterType.ARCHER,0.5625
6,36,2,3,103,1.4,CharacterType.ARCHER,0.9625
6,73,25,10,36,1.4,CharacterType.ARCHER,0.8625
27,46,7,11,59,1.7,CharacterType.ARCHER,0.7375
17,6,65,31,31,1.4,CharacterType.ARCHER,0.2875
21,29,29,28,43,1.9,CharacterType.ARCHER,0.4875
27,46,7,11,59,1.7,CharacterType.ARCHER,0.7375
2,19,9,80,40,1.6,CharacterType.ARCHER,0.9875
10,40,33,8,59,1.3,CharacterType.ARCHER,0.7125
