strength,agility,expertise,resistance,life,height,characterType,performance
53,33,29,27,8,1.4,CharacterType.ARCHER,522.7363631274728
51,22,15,9,53,1.5,CharacterType.ARCHER,283.77765691775727
35,3,93,1,18,1.4,CharacterType.ARCHER,800.7593929523639
57,7,57,26,3,1.6,CharacterType.ARCHER,857.4423271049919
35,3,93,1,18,1.4,CharacterType.ARCHER,800.7593929523639
25,18,48,8,51,1.7,CharacterType.ARCHER,383.61756770200526
11,4,63,47,25,1.7,CharacterType.ARCHER,206.34916849303843
72,4,39,9,26,1.9,CharacterType.ARCHER,785.4775643193227
35,44,19,18,34,1.4,CharacterType.ARCHER,281.0763545800277
53,33,29,27,8,1.4,CharacterType.ARCHER,522.7363631274728
11,3,70,9,57,1.3,CharacterType.ARCHER,225.24738364157844
11,8,46,25,60,1.8,CharacterType.ARCHER,172.94391894681934
53,33,29,27,8,1.4,CharacterType.ARCHER,522.7363631274728
79,32,15,5,19,2.0,CharacterType.ARCHER,429.4216086348714
44,37,44,13,12,1.5,CharacterType.ARCHER,630.1549884015052
41,33,24,27,25,1.9,CharacterType.ARCHER,378.6117449482926
3,93,35,17,2,1.8,CharacterType.ARCHER,45.19543231771656
83,16,8,8,35,1.5,CharacterType.ARCHER,233.85712052862544
25,18,48,8,51,1.7,CharacterType.ARCHER,383.61756770200526
19,67,7,48,9,1.8,CharacterType.ARCHER,103.15235359444904
73,29,35,4,9,1.6,CharacterType.ARCHER,755.2779019799041
39,40,28,26,17,1.5,CharacterType.ARCHER,403.7245082418374
46,9,28,44,23,1.5,CharacterType.ARCHER,401.87896505248983
14,23,20,13,80,1.3,CharacterType.ARCHER,109.25247272606393
26,9,37,8,70,1.4,CharacterType.ARCHER,314.7051807519048
30,53,30,15,22,1.6,CharacterType.ARCHER,346.61948361411777
17,15,100,4,14,1.7,CharacterType.ARCHER,426.32063449443353
8,14,59,19,50,1.3,CharacterType.ARCHER,153.60952280569822
14,92,21,2,21,1.6,CharacterType.ARCHER,146.84646499650907
43,58,12,15,22,2.0,CharacterType.ARCHER,273.10829819097637
3,93,35,17,2,1.8,CharacterType.ARCHER,45.19543231771656
43,58,12,15,22,2.0,CharacterType.ARCHER,273.10829819097637
47,42,9,5,47,1.3,CharacterType.ARCHER,203.20919589856618
83,16,8,8,35,1.5,CharacterType.ARCHER,233.85712052862544
11,8,46,25,60,1.8,CharacterType.ARCHER,172.94391894681934
21,45,17,45,22,1.6,CharacterType.ARCHER,159.35476322728715
12,53,25,38,22,1.6,CharacterType.ARCHER,127.2851171251111
41,35,3,65,6,2.0,CharacterType.ARCHER,108.76191294056925
11,4,63,47,25,1.7,CharacterType.ARCHER,206.34916849303843
10,14,47,48,31,1.4,CharacterType.ARCHER,157.14581330001383
57,7,57,26,3,1.6,CharacterType.ARCHER,857.4423271049919
79,32,15,5,19,2.0,CharacterType.ARCHER,429.4216086348714
45,50,27,5,23,1.8,CharacterType.ARCHER,471.8757027254986
72,4,39,9,26,1.9,CharacterType.ARCHER,785.4775643193227
11,3,70,9,57,1.3,CharacterType.ARCHER,225.24738364157844
79,32,15,5,19,2.0,CharacterType.ARCHER,429.4216086348714
47,42,9,5,47,1.3,CharacterType.ARCHER,203.20919589856618
69,9,38,2,32,1.9,CharacterType.ARCHER,761.5325508496022
69,9,38,2,32,1.9,CharacterType.ARCHER,761.5325508496022
17,39,61,15,18,1.7,CharacterType.ARCHER,329.8280642494556
51,22,15,9,53,1.5,CharacterType.ARCHER,283.77765691775727
25,35,24,41,25,1.6,CharacterType.ARCHER,230.25589295042118
11,8,46,25,60,1.8,CharacterType.ARCHER,172.94391894681934
57,7,57,26,3,1.6,CharacterType.ARCHER,857.4423271049919
41,7,42,10,50,1.5,CharacterType.ARCHER,521.0834866497308
17,15,100,4,14,1.7,CharacterType.ARCHER,426.32063449443353
41,7,42,10,50,1.5,CharacterType.ARCHER,521.0834866497308
30,9,51,50,10,2.0,CharacterType.ARCHER,460.94970510618094
54,13,13,5,65,1.7,CharacterType.ARCHER,240.65466285806653
12,53,25,38,22,1.6,CharacterType.ARCHER,127.2851171251111
