strength,agility,expertise,resistance,life,height,characterType,performance
73.0,76.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.68155104722603
73.0,76.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.68155104722603
73.0,76.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.68155104722603
73.0,76.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.68155104722603
73.0,76.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.68155104722603
75.0,74.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734
74.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734
74.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734
74.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734
74.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734
74.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734
74.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734
74.0,75.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734
75.0,73.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.12756487247904
75.0,73.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.12756487247904
75.0,73.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.12756487247904
73.0,75.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,61.1164731473312
73.0,74.0,2.0,0.0,0.0,1.9,CharacterType.ARCHER,61.11597834979506
73.0,74.0,2.0,0.0,0.0,1.9,CharacterType.ARCHER,61.11597834979506
73.0,76.0,0.0,1.0,0.0,1.9,CharacterType.ARCHER,61.10962976576311
76.0,73.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.10962976576311
73.0,76.0,0.0,1.0,0.0,1.9,CharacterType.ARCHER,61.10962976576311
76.0,73.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.10962976576311
76.0,73.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.10962976576311
72.0,77.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.05821796008243
77.0,72.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.05821796008243
77.0,72.0,0.0,0.0,1.0,1.9,CharacterType.ARCHER,61.05821796008243
77.0,72.0,0.0,0.0,1.0,1.9,CharacterType.ARCHER,61.05821796008243
77.0,72.0,0.0,0.0,1.0,1.9,CharacterType.ARCHER,61.05821796008243
71.0,74.0,4.0,1.0,0.0,1.9,CharacterType.ARCHER,61.02088977706237
76.0,69.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,61.0021213578495
71.0,78.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,60.981120849367436
69.0,75.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,60.849441894601746
69.0,76.0,4.0,1.0,0.0,1.9,CharacterType.ARCHER,60.843970308950915
69.0,77.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,60.83115158530205
69.0,80.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,60.749977813985886
69.0,80.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,60.749977813985886
68.0,81.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,60.596006029549436
67.0,78.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,60.56184330571483
74.0,74.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,60.557453609288814
81.0,67.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,60.540717183963395
75.0,69.0,4.0,1.0,0.0,1.9,CharacterType.ARCHER,60.43803758319478
67.0,82.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,60.41649721620087
70.0,78.0,0.0,0.0,1.0,1.9,CharacterType.ARCHER,60.351109577623305
66.0,69.0,14.0,0.0,0.0,1.9,CharacterType.ARCHER,60.296583506624955
66.0,69.0,14.0,0.0,0.0,1.9,CharacterType.ARCHER,60.296583506624955
66.0,69.0,14.0,0.0,0.0,1.9,CharacterType.ARCHER,60.296583506624955
69.0,72.0,7.0,0.0,0.0,1.9,CharacterType.ARCHER,60.27462337457448
66.0,67.0,16.0,0.0,0.0,1.9,CharacterType.ARCHER,60.18434248551146
84.0,65.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,59.98110732385188
84.0,65.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,59.98110732385188
69.0,72.0,6.0,1.0,0.0,1.9,CharacterType.ARCHER,59.728025336492955
64.0,85.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,59.72536621411751
64.0,85.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,59.72536621411751
63.0,83.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,59.6333017126892
75.0,71.0,0.0,0.0,2.0,1.9,CharacterType.ARCHER,59.340734006697694
61.0,87.0,1.0,0.0,0.0,1.9,CharacterType.ARCHER,58.88643859019682
61.0,88.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,58.8069705563656
59.0,57.0,32.0,0.0,0.0,1.9,CharacterType.ARCHER,56.834692765439
59.0,57.0,32.0,0.0,0.0,1.9,CharacterType.ARCHER,56.834692765439
