strength,agility,expertise,resistance,life,height,characterType,performance
72.0,71.0,7.0,0.0,0.0,1.9,CharacterType.ARCHER,61.59420302794747
72.0,71.0,7.0,0.0,0.0,1.9,CharacterType.ARCHER,61.59420302794747
72.0,71.0,7.0,0.0,0.0,1.9,CharacterType.ARCHER,61.59420302794747
76.0,68.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.542247232914434
76.0,68.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.542247232914434
76.0,68.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.542247232914434
76.0,68.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.542247232914434
76.0,68.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.542247232914434
76.0,68.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.542247232914434
76.0,68.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.542247232914434
76.0,68.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.542247232914434
76.0,68.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.542247232914434
76.0,68.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.542247232914434
76.0,68.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.542247232914434
76.0,68.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.542247232914434
76.0,68.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.542247232914434
76.0,68.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.542247232914434
76.0,68.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.542247232914434
75.0,74.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.135339788251734
74.0,73.0,2.0,0.0,0.0,1.9,CharacterType.ARCHER,61.127138739704385
74.0,72.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,61.111753090655434
74.0,72.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,61.111753090655434
74.0,72.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,61.111753090655434
73.0,76.0,0.0,0.0,0.0,1.9,CharacterType.ARCHER,61.10962976576311
76.0,71.0,2.0,0.0,0.0,1.9,CharacterType.ARCHER,61.071367527508514
73.0,71.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.06910746878697
73.0,71.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.06910746878697
72.0,72.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.053959219146066
72.0,72.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.053959219146066
72.0,72.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,61.053959219146066
73.0,70.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,61.03791588637687
77.0,70.0,2.0,0.0,0.0,1.9,CharacterType.ARCHER,61.00446244813802
71.0,72.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,60.996018797322186
75.0,68.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,60.973168939452606
76.0,68.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,60.955554595675146
76.0,68.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,60.955554595675146
76.0,68.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,60.955554595675146
76.0,68.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,60.955554595675146
68.0,77.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,60.716041351501055
67.0,77.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,60.58068783533231
73.0,72.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,60.52119310085757
73.0,72.0,3.0,0.0,0.0,1.9,CharacterType.ARCHER,60.52119310085757
76.0,70.0,2.0,0.0,0.0,1.9,CharacterType.ARCHER,60.45258161966806
71.0,71.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,60.41373121476665
73.0,68.0,7.0,0.0,0.0,1.9,CharacterType.ARCHER,60.38269057803068
73.0,68.0,7.0,0.0,0.0,1.9,CharacterType.ARCHER,60.38269057803068
73.0,68.0,7.0,0.0,0.0,1.9,CharacterType.ARCHER,60.38269057803068
73.0,68.0,7.0,0.0,0.0,1.9,CharacterType.ARCHER,60.38269057803068
73.0,68.0,7.0,0.0,0.0,1.9,CharacterType.ARCHER,60.38269057803068
69.0,73.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,60.29121658870364
69.0,73.0,6.0,0.0,0.0,1.9,CharacterType.ARCHER,60.29121658870364
82.0,65.0,2.0,0.0,0.0,1.9,CharacterType.ARCHER,60.28104429262897
67.0,77.0,4.0,0.0,0.0,1.9,CharacterType.ARCHER,60.04479824850754
63.0,73.0,13.0,0.0,0.0,1.9,CharacterType.ARCHER,59.81757010917645
82.0,61.0,5.0,0.0,0.0,1.9,CharacterType.ARCHER,59.2930464467941
55.0,78.0,15.0,0.0,0.0,1.9,CharacterType.ARCHER,56.821603903781
48.0,70.0,29.0,1.0,0.0,1.9,CharacterType.ARCHER,52.8179661789155
45.0,90.0,14.0,0.0,0.0,1.9,CharacterType.ARCHER,51.62147939891568
45.0,90.0,14.0,0.0,0.0,1.9,CharacterType.ARCHER,51.62147939891568
68.0,56.0,24.0,0.0,0.0,1.6,CharacterType.ARCHER,46.262173085277034
