strength,agility,expertise,resistance,life,height,characterType,performance
25,10,24,24,67,1.4,CharacterType.ARCHER,9.955178315085615
8,11,33,67,31,1.5,CharacterType.ARCHER,5.582720985837808
73,12,52,3,10,1.7,CharacterType.ARCHER,31.323959235311953
67,48,6,16,13,1.9,CharacterType.ARCHER,43.356612671983484
15,46,51,36,2,1.4,CharacterType.ARCHER,13.78193950228739
11,57,17,15,50,1.7,CharacterType.ARCHER,9.58182192514328
46,16,57,4,27,2.0,CharacterType.ARCHER,28.085391017968867
44,22,39,41,4,1.6,CharacterType.ARCHER,22.174123809357365
55,41,16,32,6,1.3,CharacterType.ARCHER,19.908390872206557
39,54,11,37,9,1.6,CharacterType.ARCHER,25.430734803819874
33,28,44,20,25,1.4,CharacterType.ARCHER,22.53463078230196
11,33,63,37,6,1.8,CharacterType.ARCHER,10.283545522362635
33,28,44,20,25,1.4,CharacterType.ARCHER,22.53463078230196
15,46,51,36,2,1.4,CharacterType.ARCHER,13.78193950228739
35,11,77,17,10,1.7,CharacterType.ARCHER,21.123047819699572
23,11,63,5,48,1.4,CharacterType.ARCHER,14.767457738910782
3,16,57,26,48,1.3,CharacterType.ARCHER,5.165112671690601
52,42,5,28,23,1.8,CharacterType.ARCHER,28.823340785367346
63,35,3,14,35,1.8,CharacterType.ARCHER,27.819682297869363
22,27,51,11,39,1.5,CharacterType.ARCHER,16.82797851190854
22,27,51,11,39,1.5,CharacterType.ARCHER,16.82797851190854
33,28,44,20,25,1.4,CharacterType.ARCHER,22.53463078230196
55,17,51,12,15,1.4,CharacterType.ARCHER,29.65738077720418
35,11,77,17,10,1.7,CharacterType.ARCHER,21.123047819699572
46,31,3,35,35,1.3,CharacterType.ARCHER,12.95472316176556
19,44,25,44,18,1.7,CharacterType.ARCHER,14.019793881620084
28,9,6,3,104,1.7,CharacterType.ARCHER,4.783882679462566
46,16,57,4,27,2.0,CharacterType.ARCHER,28.085391017968867
7,39,16,29,59,2.0,CharacterType.ARCHER,6.401126923327327
55,17,51,12,15,1.4,CharacterType.ARCHER,29.65738077720418
10,30,27,46,37,1.6,CharacterType.ARCHER,7.815273362556221
73,12,52,3,10,1.7,CharacterType.ARCHER,31.323959235311953
17,62,16,22,33,1.3,CharacterType.ARCHER,10.367508569612458
27,11,39,56,17,1.7,CharacterType.ARCHER,12.12708221840319
10,42,13,33,52,1.5,CharacterType.ARCHER,8.12873567008308
35,11,77,17,10,1.7,CharacterType.ARCHER,21.123047819699572
73,12,52,3,10,1.7,CharacterType.ARCHER,31.323959235311953
34,74,7,3,32,2.0,CharacterType.ARCHER,29.890535710335154
11,29,10,33,67,2.0,CharacterType.ARCHER,7.270467306762228
11,33,63,37,6,1.8,CharacterType.ARCHER,10.283545522362635
5,60,7,56,22,1.3,CharacterType.ARCHER,4.242173293294229
1,3,80,11,55,1.5,CharacterType.ARCHER,3.2556952393260885
35,11,77,17,10,1.7,CharacterType.ARCHER,21.123047819699572
18,8,13,106,5,1.7,CharacterType.ARCHER,3.9221385119417667
35,14,17,30,54,1.8,CharacterType.ARCHER,13.021791119561707
20,53,31,14,32,1.6,CharacterType.ARCHER,16.97385267843653
38,48,21,4,39,1.3,CharacterType.ARCHER,17.660192190568253
7,31,33,50,29,2.0,CharacterType.ARCHER,6.48055932107884
99,29,7,2,13,2.0,CharacterType.ARCHER,33.21386867140824
83,3,43,6,15,1.9,CharacterType.ARCHER,28.801350419778206
7,7,5,13,118,1.9,CharacterType.ARCHER,2.121993434883678
46,31,3,35,35,1.3,CharacterType.ARCHER,12.95472316176556
23,50,24,48,5,1.4,CharacterType.ARCHER,17.872105134408006
83,3,43,6,15,1.9,CharacterType.ARCHER,28.801350419778206
23,19,13,66,29,1.9,CharacterType.ARCHER,10.65515563010615
5,60,7,56,22,1.3,CharacterType.ARCHER,4.242173293294229
18,38,20,26,48,1.7,CharacterType.ARCHER,12.382787415117471
68,37,18,17,10,1.5,CharacterType.ARCHER,35.55855977515369
10,30,27,46,37,1.6,CharacterType.ARCHER,7.815273362556221
11,39,40,56,4,1.9,CharacterType.ARCHER,10.28104603508047
