strength,agility,expertise,resistance,life,height,characterType,performance
77.0,58.0,9.0,2.0,2.0,1.8,CharacterType.ARCHER,51.519626099037
74.0,48.0,12.0,11.0,3.0,1.8,CharacterType.ARCHER,45.048888257402695
66.0,52.0,14.0,2.0,12.0,1.4,CharacterType.ARCHER,41.913650448180725
74.0,41.0,12.0,4.0,16.0,2.0,CharacterType.ARCHER,39.257983478595854
70.0,16.0,57.0,1.0,3.0,1.5,CharacterType.ARCHER,36.68404903513136
51.0,44.0,22.0,5.0,26.0,2.0,CharacterType.ARCHER,34.94196052787927
79.0,36.0,6.0,23.0,3.0,2.0,CharacterType.ARCHER,33.959030909513864
36.0,66.0,39.0,4.0,2.0,1.7,CharacterType.ARCHER,33.91062443181406
53.0,54.0,2.0,9.0,28.0,2.0,CharacterType.ARCHER,33.367660324124046
40.0,51.0,38.0,3.0,17.0,1.7,CharacterType.ARCHER,32.44894498885752
103.0,20.0,17.0,2.0,5.0,1.8,CharacterType.ARCHER,31.949900596588588
77.0,25.0,23.0,10.0,13.0,1.7,CharacterType.ARCHER,30.47695554429435
27.0,51.0,45.0,25.0,0.0,1.9,CharacterType.ARCHER,29.163612458730416
100.0,5.0,32.0,8.0,2.0,1.9,CharacterType.ARCHER,27.501187951853314
53.0,16.0,50.0,28.0,0.0,1.5,CharacterType.ARCHER,27.374034734065653
52.0,39.0,10.0,24.0,23.0,1.5,CharacterType.ARCHER,27.355972745076855
28.0,70.0,17.0,12.0,21.0,2.0,CharacterType.ARCHER,26.444615369618415
44.0,25.0,48.0,9.0,22.0,1.6,CharacterType.ARCHER,26.443163461818862
27.0,48.0,20.0,16.0,37.0,1.9,CharacterType.ARCHER,23.55910285264919
29.0,43.0,20.0,20.0,35.0,1.9,CharacterType.ARCHER,23.456966374614968
94.0,17.0,15.0,2.0,19.0,1.6,CharacterType.ARCHER,23.061908216632485
64.0,22.0,17.0,12.0,31.0,1.7,CharacterType.ARCHER,22.709864248131183
53.0,17.0,21.0,0.0,57.0,1.9,CharacterType.ARCHER,22.23730736066062
80.0,23.0,5.0,31.0,7.0,1.4,CharacterType.ARCHER,22.131543636633978
63.0,17.0,20.0,38.0,10.0,2.0,CharacterType.ARCHER,22.0866709084052
81.0,14.0,17.0,24.0,11.0,1.4,CharacterType.ARCHER,21.092877793689837
45.0,25.0,65.0,7.0,6.0,1.3,CharacterType.ARCHER,20.396877820838597
24.0,69.0,0.0,42.0,12.0,1.8,CharacterType.ARCHER,19.90472141551166
83.0,16.0,8.0,19.0,20.0,2.0,CharacterType.ARCHER,19.43933244955289
56.0,0.0,57.0,30.0,5.0,1.6,CharacterType.ARCHER,19.269065967327652
43.0,9.0,40.0,32.0,23.0,1.8,CharacterType.ARCHER,18.957280357151966
38.0,39.0,6.0,48.0,19.0,1.6,CharacterType.ARCHER,18.847413761995583
29.0,17.0,45.0,54.0,2.0,1.9,CharacterType.ARCHER,18.31392477145536
29.0,8.0,68.0,4.0,40.0,2.0,CharacterType.ARCHER,18.058899171863953
31.0,33.0,63.0,1.0,20.0,1.3,CharacterType.ARCHER,16.918925129186075
24.0,38.0,20.0,31.0,37.0,2.0,CharacterType.ARCHER,16.778871794837958
14.0,75.0,32.0,11.0,15.0,1.4,CharacterType.ARCHER,15.168562423438928
32.0,22.0,22.0,37.0,34.0,1.7,CharacterType.ARCHER,14.929709086016148
66.0,5.0,18.0,32.0,26.0,1.9,CharacterType.ARCHER,14.722088119641032
15.0,53.0,19.0,21.0,41.0,1.9,CharacterType.ARCHER,14.615357610196954
28.0,8.0,55.0,37.0,20.0,1.7,CharacterType.ARCHER,14.169531495051167
35.0,44.0,9.0,16.0,44.0,1.3,CharacterType.ARCHER,14.089665613015473
15.0,54.0,26.0,43.0,10.0,1.8,CharacterType.ARCHER,13.81001671067349
27.0,13.0,30.0,10.0,67.0,1.9,CharacterType.ARCHER,13.547991508387113
35.0,23.0,9.0,40.0,41.0,1.7,CharacterType.ARCHER,13.443905453859918
42.0,9.0,42.0,1.0,52.0,1.3,CharacterType.ARCHER,12.396500482920068
57.0,4.0,21.0,28.0,37.0,1.7,CharacterType.ARCHER,11.956937025104613
85.0,8.0,8.0,10.0,39.0,1.4,CharacterType.ARCHER,11.949496741330318
23.0,25.0,49.0,1.0,50.0,1.3,CharacterType.ARCHER,11.524784362701363
16.0,27.0,74.0,14.0,17.0,1.3,CharacterType.ARCHER,9.596377391039322
69.0,1.0,17.0,41.0,19.0,1.5,CharacterType.ARCHER,9.56604310763451
10.0,50.0,25.0,2.0,60.0,1.4,CharacterType.ARCHER,8.773869624631034
28.0,17.0,13.0,45.0,44.0,1.3,CharacterType.ARCHER,8.72598396524267
14.0,18.0,29.0,29.0,56.0,1.5,CharacterType.ARCHER,8.687212478046796
19.0,8.0,80.0,33.0,7.0,1.3,CharacterType.ARCHER,8.043576100256418
10.0,35.0,23.0,21.0,59.0,1.4,CharacterType.ARCHER,7.997752202374941
18.0,5.0,89.0,27.0,9.0,1.3,CharacterType.ARCHER,7.840345898545486
69.0,11.0,3.0,32.0,32.0,1.3,CharacterType.ARCHER,7.776064206631205
29.0,2.0,28.0,57.0,32.0,1.3,CharacterType.ARCHER,7.551483009043977
10.0,13.0,43.0,14.0,70.0,1.5,CharacterType.ARCHER,7.257581444669042
14.0,3.0,37.0,24.0,70.0,1.5,CharacterType.ARCHER,7.237846587226718
27.0,2.0,19.0,58.0,41.0,1.4,CharacterType.ARCHER,7.141500947748189
8.0,22.0,37.0,29.0,52.0,1.9,CharacterType.ARCHER,7.128548389775322
9.0,17.0,34.0,53.0,34.0,1.5,CharacterType.ARCHER,6.609514187602344
16.0,19.0,10.0,29.0,73.0,1.3,CharacterType.ARCHER,6.584124833763975
6.0,79.0,6.0,34.0,23.0,1.4,CharacterType.ARCHER,6.23560486690151
7.0,47.0,16.0,11.0,67.0,1.6,CharacterType.ARCHER,5.881442556921055
10.0,14.0,14.0,64.0,45.0,1.6,CharacterType.ARCHER,5.849267612967428
7.0,2.0,62.0,3.0,74.0,2.0,CharacterType.ARCHER,5.577592798712635
6.0,36.0,56.0,16.0,33.0,1.3,CharacterType.ARCHER,5.508714078485447
5.0,23.0,57.0,20.0,43.0,1.3,CharacterType.ARCHER,5.4497981156765665
