strength,agility,expertise,resistance,life,height,characterType,performance
52.0,6.0,68.0,2.0,20.0,1.9,CharacterType.ARCHER,967.6354770841609
42.0,2.0,92.0,7.0,5.0,1.4,CharacterType.ARCHER,929.315822982466
63.0,21.0,49.0,9.0,7.0,1.7,CharacterType.ARCHER,865.2429219235272
50.0,12.0,57.0,20.0,10.0,1.9,CharacterType.ARCHER,830.7530540451061
37.0,22.0,78.0,0.0,11.0,1.9,CharacterType.ARCHER,819.7526210030154
67.0,22.0,42.0,5.0,12.0,1.5,CharacterType.ARCHER,815.2481106008537
49.0,23.0,51.0,1.0,23.0,2.0,CharacterType.ARCHER,753.4355211054942
32.0,25.0,78.0,11.0,1.0,1.8,CharacterType.ARCHER,699.846118517122
46.0,16.0,49.0,28.0,9.0,1.9,CharacterType.ARCHER,694.2517868463558
53.0,15.0,38.0,35.0,7.0,1.6,CharacterType.ARCHER,595.0557411315361
40.0,10.0,48.0,27.0,22.0,1.9,CharacterType.ARCHER,593.8690093032966
41.0,17.0,43.0,12.0,36.0,2.0,CharacterType.ARCHER,554.2880782200444
40.0,14.0,49.0,5.0,40.0,1.3,CharacterType.ARCHER,545.4376264872758
27.0,12.0,70.0,21.0,17.0,1.8,CharacterType.ARCHER,542.5081825774486
27.0,2.0,73.0,27.0,19.0,1.4,CharacterType.ARCHER,536.8647722406762
32.0,29.0,53.0,6.0,27.0,1.5,CharacterType.ARCHER,536.6593824614145
33.0,12.0,62.0,33.0,8.0,1.3,CharacterType.ARCHER,534.618485515782
56.0,9.0,31.0,12.0,39.0,1.6,CharacterType.ARCHER,513.404956089187
91.0,3.0,21.0,21.0,12.0,1.8,CharacterType.ARCHER,499.7596795243338
87.0,2.0,22.0,17.0,20.0,1.5,CharacterType.ARCHER,497.47408865253936
27.0,2.0,59.0,15.0,45.0,1.9,CharacterType.ARCHER,481.8633010395488
42.0,19.0,35.0,35.0,17.0,1.8,CharacterType.ARCHER,479.3786011785459
26.0,13.0,55.0,13.0,41.0,1.9,CharacterType.ARCHER,454.20584291378293
41.0,20.0,34.0,41.0,11.0,1.4,CharacterType.ARCHER,451.080515256704
55.0,15.0,26.0,39.0,13.0,1.5,CharacterType.ARCHER,450.5190332897284
28.0,25.0,49.0,16.0,30.0,1.8,CharacterType.ARCHER,448.33906071153086
19.0,36.0,70.0,0.0,24.0,1.5,CharacterType.ARCHER,407.51352798026306
34.0,72.0,28.0,2.0,12.0,1.5,CharacterType.ARCHER,396.60297808715416
59.0,11.0,19.0,57.0,1.0,1.9,CharacterType.ARCHER,365.59866343850604
14.0,25.0,82.0,0.0,28.0,1.9,CharacterType.ARCHER,342.21534629839334
30.0,42.0,30.0,24.0,22.0,1.5,CharacterType.ARCHER,338.4451015559465
32.0,53.0,25.0,6.0,32.0,1.5,CharacterType.ARCHER,328.35474210776715
38.0,50.0,20.0,20.0,20.0,2.0,CharacterType.ARCHER,325.1881851610399
39.0,32.0,21.0,15.0,41.0,1.8,CharacterType.ARCHER,318.09056163808106
21.0,32.0,40.0,19.0,35.0,1.4,CharacterType.ARCHER,294.8948113121688
18.0,42.0,45.0,33.0,9.0,1.9,CharacterType.ARCHER,293.02701673967556
15.0,37.0,52.0,10.0,35.0,1.9,CharacterType.ARCHER,275.50445272447416
29.0,13.0,27.0,71.0,6.0,1.9,CharacterType.ARCHER,270.415116856052
17.0,5.0,55.0,39.0,32.0,1.3,CharacterType.ARCHER,266.40717292373046
12.0,8.0,72.0,27.0,27.0,1.8,CharacterType.ARCHER,255.3493851739449
52.0,8.0,15.0,41.0,30.0,1.4,CharacterType.ARCHER,252.1111889953994
43.0,35.0,13.0,8.0,49.0,1.8,CharacterType.ARCHER,248.53718871974965
10.0,2.0,89.0,31.0,15.0,1.6,CharacterType.ARCHER,232.48781596608896
15.0,15.0,45.0,21.0,53.0,1.8,CharacterType.ARCHER,229.55858351524884
90.0,20.0,6.0,23.0,10.0,1.9,CharacterType.ARCHER,223.07065968052035
31.0,36.0,15.0,28.0,36.0,1.9,CharacterType.ARCHER,210.84883816921544
30.0,35.0,15.0,45.0,24.0,1.9,CharacterType.ARCHER,202.36331083211945
25.0,51.0,20.0,46.0,5.0,1.3,CharacterType.ARCHER,198.04406293005968
72.0,4.0,9.0,16.0,45.0,1.4,CharacterType.ARCHER,193.63533302387964
43.0,59.0,6.0,31.0,9.0,1.4,CharacterType.ARCHER,193.0555030228309
10.0,45.0,53.0,25.0,15.0,1.9,CharacterType.ARCHER,189.1878298318149
32.0,14.0,16.0,30.0,56.0,1.7,CharacterType.ARCHER,185.28245565485923
34.0,24.0,13.0,21.0,56.0,1.5,CharacterType.ARCHER,182.24701300631713
30.0,97.0,7.0,7.0,7.0,1.5,CharacterType.ARCHER,182.1890729923617
11.0,37.0,41.0,26.0,33.0,1.9,CharacterType.ARCHER,170.71878038624624
48.0,20.0,8.0,68.0,4.0,1.9,CharacterType.ARCHER,168.7544941265746
22.0,77.0,13.0,29.0,6.0,1.8,CharacterType.ARCHER,167.89164066163772
29.0,62.0,9.0,36.0,11.0,2.0,CharacterType.ARCHER,166.98323076212128
12.0,75.0,30.0,5.0,27.0,1.5,CharacterType.ARCHER,157.11791780246736
38.0,26.0,9.0,45.0,29.0,1.5,CharacterType.ARCHER,156.54922385352123
21.0,30.0,18.0,16.0,63.0,1.3,CharacterType.ARCHER,147.65734471851
51.0,35.0,4.0,21.0,37.0,1.5,CharacterType.ARCHER,146.39195011733892
16.0,8.0,25.0,0.0,100.0,1.3,CharacterType.ARCHER,137.32109789841604
23.0,47.0,11.0,42.0,23.0,1.5,CharacterType.ARCHER,134.85672936077196
21.0,64.0,9.0,33.0,21.0,1.4,CharacterType.ARCHER,123.79001377091734
15.0,19.0,21.0,46.0,46.0,2.0,CharacterType.ARCHER,122.12296405037657
10.0,35.0,30.0,40.0,35.0,2.0,CharacterType.ARCHER,119.33337692545078
22.0,59.0,8.0,39.0,19.0,1.7,CharacterType.ARCHER,117.0231671443257
