strength,agility,expertise,resistance,life,height,characterType,performance
73,25,44,3,5,1.9,CharacterType.ARCHER,47.11566423844848
73,25,44,3,5,1.9,CharacterType.ARCHER,47.11566423844848
73,25,44,3,5,1.9,CharacterType.ARCHER,47.11566423844848
84,35,11,12,8,1.9,CharacterType.ARCHER,42.308764684427636
84,35,11,12,8,1.9,CharacterType.ARCHER,42.308764684427636
40,44,57,6,3,1.9,CharacterType.ARCHER,42.10754340553659
40,44,57,6,3,1.9,CharacterType.ARCHER,42.10754340553659
42,43,34,4,27,1.9,CharacterType.ARCHER,37.04461576727738
42,43,34,4,27,1.9,CharacterType.ARCHER,37.04461576727738
77,28,24,6,15,2.0,CharacterType.ARCHER,36.47416979672254
77,28,24,6,15,2.0,CharacterType.ARCHER,36.47416979672254
59,26,34,16,15,2.0,CharacterType.ARCHER,32.77583983215782
61,48,6,33,2,1.6,CharacterType.ARCHER,31.6873870827986
61,48,6,33,2,1.6,CharacterType.ARCHER,31.6873870827986
39,25,43,26,17,1.9,CharacterType.ARCHER,28.402165504826606
66,6,45,30,3,1.9,CharacterType.ARCHER,27.832235151315125
66,6,45,30,3,1.9,CharacterType.ARCHER,27.832235151315125
37,59,9,4,41,1.5,CharacterType.ARCHER,27.121706408291455
29,73,9,17,22,2.0,CharacterType.ARCHER,26.2638453915358
72,28,10,28,12,1.7,CharacterType.ARCHER,25.573682505422916
72,28,10,28,12,1.7,CharacterType.ARCHER,25.573682505422916
43,16,57,1,33,1.4,CharacterType.ARCHER,25.50042090941365
45,6,77,9,13,1.5,CharacterType.ARCHER,25.11437516072119
30,41,40,15,24,1.7,CharacterType.ARCHER,22.99046250484485
30,41,40,15,24,1.7,CharacterType.ARCHER,22.99046250484485
55,14,30,28,23,2.0,CharacterType.ARCHER,22.220856677720302
28,23,62,9,28,1.5,CharacterType.ARCHER,20.874741291274976
28,11,97,12,2,2.0,CharacterType.ARCHER,20.7004298405243
42,19,26,4,59,1.8,CharacterType.ARCHER,19.639911456446292
72,11,21,18,28,1.4,CharacterType.ARCHER,19.445432774037986
28,3,81,6,32,1.9,CharacterType.ARCHER,19.169526754630084
78,2,34,12,24,1.4,CharacterType.ARCHER,18.986192704492478
52,5,41,13,39,1.5,CharacterType.ARCHER,18.92243461829909
51,7,41,11,40,1.6,CharacterType.ARCHER,18.662658606359187
29,34,29,12,46,1.7,CharacterType.ARCHER,18.569090810644763
68,13,43,20,6,1.3,CharacterType.ARCHER,18.188182487138747
29,8,75,6,32,1.7,CharacterType.ARCHER,17.472102329598695
25,7,68,13,37,1.9,CharacterType.ARCHER,17.28866150527705
17,37,73,8,15,2.0,CharacterType.ARCHER,17.22009101828731
33,6,51,4,56,2.0,CharacterType.ARCHER,16.337010830373114
15,92,5,25,13,2.0,CharacterType.ARCHER,15.548004810288532
37,14,62,6,31,1.3,CharacterType.ARCHER,15.290932686553901
31,4,55,12,48,1.5,CharacterType.ARCHER,15.216906841098176
43,16,50,37,4,1.3,CharacterType.ARCHER,14.651290914814965
19,25,43,41,22,2.0,CharacterType.ARCHER,13.739214585559886
24,11,45,7,63,2.0,CharacterType.ARCHER,13.333513825444264
20,4,88,23,15,2.0,CharacterType.ARCHER,13.326641531457858
13,63,5,37,32,1.8,CharacterType.ARCHER,11.645000544455405
77,3,27,6,37,1.3,CharacterType.ARCHER,11.0536888591172
14,14,64,31,27,2.0,CharacterType.ARCHER,10.661796026265375
12,13,73,18,34,2.0,CharacterType.ARCHER,9.918926608374484
27,12,22,79,10,1.6,CharacterType.ARCHER,8.830452808170316
17,1,51,63,18,1.9,CharacterType.ARCHER,8.718174052817263
24,15,7,53,51,1.7,CharacterType.ARCHER,8.325081451087332
8,17,90,13,22,1.9,CharacterType.ARCHER,8.273945220070937
7,28,104,10,1,1.8,CharacterType.ARCHER,7.192907238994003
9,11,65,53,12,1.8,CharacterType.ARCHER,6.5648563026927365
6,2,30,42,70,1.4,CharacterType.ARCHER,5.198513687682359
4,11,26,30,79,1.6,CharacterType.ARCHER,4.657265388942439
2,38,22,31,57,1.4,CharacterType.ARCHER,3.6403846450657014
